goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,38,35,3,37,92.1,97.4
goal_02,False,41,38,3,40,92.7,97.6
goal_03,False,32,24,8,29,75.0,90.6
goal_04,False,38,32,6,34,84.2,89.5
goal_05,True,40,32,8,35,80.0,87.5
goal_06,False,27,25,2,26,92.6,96.3
goal_07,False,39,35,4,38,89.7,97.4
goal_08,False,47,38,9,45,80.9,95.7
goal_09,True,31,25,6,27,80.6,87.1
goal_10,True,31,24,7,28,77.4,90.3
goal_11,False,42,33,9,37,78.6,88.1
goal_12,False,45,40,5,42,88.9,93.3
goal_13,True,30,26,4,28,86.7,93.3
goal_14,False,39,31,8,36,79.5,92.3
goal_15,False,45,38,7,41,84.4,91.1
goal_16,False,33,27,6,29,81.8,87.9
goal_17,True,43,35,8,37,81.4,86.0
goal_18,True,34,29,5,29,85.3,85.3
goal_19,True,38,29,9,33,76.3,86.8
goal_20,False,30,25,5,27,83.3,90.0
goal_21,False,43,36,7,38,83.7,88.4
goal_22,False,35,27,8,30,77.1,85.7
goal_23,True,37,32,5,32,86.5,86.5
goal_24,True,42,36,6,38,85.7,90.5
goal_25,True,43,38,5,39,88.4,90.7
goal_26,False,30,26,4,28,86.7,93.3
goal_27,False,41,36,5,36,87.8,87.8
goal_28,False,40,35,5,37,87.5,92.5
