goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,14,6,8,11,42.9,78.6
goal_02,False,13,3,10,11,23.1,84.6
goal_03,False,16,5,11,14,31.2,87.5
goal_04,False,12,7,5,10,58.3,83.3
goal_05,True,13,2,11,8,15.4,61.5
goal_06,False,17,6,11,12,35.3,70.6
goal_07,False,20,8,12,18,40.0,90.0
goal_08,False,15,6,9,14,40.0,93.3
goal_09,True,12,5,7,12,41.7,100.0
goal_10,True,13,8,5,12,61.5,92.3
goal_11,False,17,4,13,14,23.5,82.4
goal_12,False,10,4,6,8,40.0,80.0
goal_13,True,10,5,5,8,50.0,80.0
goal_14,False,17,8,9,16,47.1,94.1
goal_15,False,13,7,6,11,53.8,84.6
goal_16,False,17,4,13,14,23.5,82.4
goal_17,True,21,8,13,21,38.1,100.0
goal_18,True,19,8,11,16,42.1,84.2
goal_19,True,21,11,10,18,52.4,85.7
goal_20,False,12,7,5,11,58.3,91.7
goal_21,False,11,2,9,9,18.2,81.8
goal_22,False,13,4,9,12,30.8,92.3
goal_23,True,11,7,4,11,63.6,100.0
goal_24,True,15,5,10,12,33.3,80.0
goal_25,True,15,3,12,15,20.0,100.0
goal_26,False,12,6,6,11,50.0,91.7
goal_27,False,20,3,17,16,15.0,80.0
goal_28,False,10,5,5,10,50.0,100.0
