goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,23,10,7,43.5
goal_02,17,12,3,70.6
goal_03,23,18,3,78.3
goal_04,24,15,6,62.5
goal_05,22,17,5,77.3
goal_06,23,16,4,69.6
goal_07,21,12,6,57.1
goal_08,23,14,6,60.9
goal_09,24,17,5,70.8
goal_10,27,18,6,66.7
goal_11,25,15,4,60.0
goal_12,26,17,6,65.4
goal_13,14,11,2,78.6
goal_14,26,16,7,61.5
goal_15,19,15,4,78.9
goal_16,17,9,6,52.9
goal_17,19,13,3,68.4
goal_18,25,20,3,80.0
goal_19,30,19,7,63.3
goal_20,21,15,4,71.4
goal_21,23,15,7,65.2
goal_22,28,20,4,71.4
goal_23,22,19,1,86.4
goal_24,38,20,12,52.6
goal_25,21,17,3,81.0
goal_26,23,16,4,69.6
goal_27,16,11,3,68.8
goal_28,28,21,7,75.0
