goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,19,5,14,17,26.3,89.5
goal_02,False,9,2,7,8,22.2,88.9
goal_03,False,9,7,2,9,77.8,100.0
goal_04,False,10,7,3,10,70.0,100.0
goal_05,True,16,10,6,13,62.5,81.2
goal_06,False,15,5,10,11,33.3,73.3
goal_07,False,19,8,11,17,42.1,89.5
goal_08,False,21,9,12,20,42.9,95.2
goal_09,True,13,5,8,10,38.5,76.9
goal_10,True,9,3,6,8,33.3,88.9
goal_11,False,12,4,8,11,33.3,91.7
goal_12,False,16,5,11,15,31.2,93.8
goal_13,True,23,6,17,22,26.1,95.7
goal_14,False,14,6,8,13,42.9,92.9
goal_15,False,17,7,10,15,41.2,88.2
goal_16,False,10,4,6,9,40.0,90.0
goal_17,True,10,6,4,9,60.0,90.0
goal_18,True,14,6,8,13,42.9,92.9
goal_19,True,11,3,8,10,27.3,90.9
goal_20,False,11,6,5,10,54.5,90.9
goal_21,False,14,5,9,12,35.7,85.7
goal_22,False,14,5,9,11,35.7,78.6
goal_23,True,19,10,9,18,52.6,94.7
goal_24,True,10,3,7,10,30.0,100.0
goal_25,True,15,10,5,14,66.7,93.3
goal_26,False,17,8,9,14,47.1,82.4
goal_27,False,13,5,8,13,38.5,100.0
goal_28,False,5,4,1,5,80.0,100.0
