goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,72,44,25,61.1
goal_02,74,44,24,59.5
goal_03,65,31,32,47.7
goal_04,62,35,22,56.5
goal_05,67,47,20,70.1
goal_06,67,39,27,58.2
goal_07,78,42,36,53.8
goal_08,88,48,37,54.5
goal_09,84,47,37,56.0
goal_10,69,38,30,55.1
goal_11,83,48,31,57.8
goal_12,77,40,34,51.9
goal_13,60,37,20,61.7
goal_14,79,42,35,53.2
goal_15,83,51,29,61.4
goal_16,69,42,24,60.9
goal_17,89,56,31,62.9
goal_18,61,32,28,52.5
goal_19,72,48,19,66.7
goal_20,78,48,27,61.5
goal_21,88,38,46,43.2
goal_22,72,34,36,47.2
goal_23,73,41,29,56.2
goal_24,65,30,34,46.2
goal_25,75,44,30,58.7
goal_26,75,36,39,48.0
goal_27,66,41,23,62.1
goal_28,66,32,33,48.5
