goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,33,14,19,28,42.4,84.8
goal_02,False,45,23,22,41,51.1,91.1
goal_03,False,44,20,24,41,45.5,93.2
goal_04,False,36,20,16,31,55.6,86.1
goal_05,True,47,24,23,43,51.1,91.5
goal_06,False,48,22,26,44,45.8,91.7
goal_07,False,47,18,29,39,38.3,83.0
goal_08,False,49,28,21,45,57.1,91.8
goal_09,True,41,20,21,39,48.8,95.1
goal_10,True,45,15,30,37,33.3,82.2
goal_11,False,41,11,30,37,26.8,90.2
goal_12,False,46,24,22,44,52.2,95.7
goal_13,True,30,17,13,28,56.7,93.3
goal_14,False,48,22,26,44,45.8,91.7
goal_15,False,45,17,28,40,37.8,88.9
goal_16,False,43,18,25,37,41.9,86.0
goal_17,True,49,25,24,46,51.0,93.9
goal_18,True,45,14,31,37,31.1,82.2
goal_19,True,42,25,17,39,59.5,92.9
goal_20,False,32,24,8,29,75.0,90.6
goal_21,False,54,29,25,47,53.7,87.0
goal_22,False,42,16,26,36,38.1,85.7
goal_23,True,44,20,24,41,45.5,93.2
goal_24,True,38,13,25,32,34.2,84.2
goal_25,True,45,19,26,40,42.2,88.9
goal_26,False,42,20,22,36,47.6,85.7
goal_27,False,44,23,21,42,52.3,95.5
goal_28,False,46,24,22,44,52.2,95.7
