goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,107,48,58,44.9
goal_02,112,55,56,49.1
goal_03,94,38,56,40.4
goal_04,103,53,50,51.5
goal_05,104,61,42,58.7
goal_06,108,65,42,60.2
goal_07,110,57,51,51.8
goal_08,116,50,65,43.1
goal_09,103,44,58,42.7
goal_10,119,64,54,53.8
goal_11,111,58,52,52.3
goal_12,127,70,56,55.1
goal_13,111,53,57,47.7
goal_14,112,61,51,54.5
goal_15,97,47,50,48.5
goal_16,94,49,45,52.1
goal_17,100,59,41,59.0
goal_18,97,53,43,54.6
goal_19,101,47,54,46.5
goal_20,107,57,50,53.3
goal_21,95,54,40,56.8
goal_22,107,57,50,53.3
goal_23,119,63,54,52.9
goal_24,108,52,56,48.1
goal_25,103,61,42,59.2
goal_26,101,53,48,52.5
goal_27,105,62,43,59.0
goal_28,113,66,46,58.4
