goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,28,8,20,28.6
goal_02,35,15,20,42.9
goal_03,35,10,25,28.6
goal_04,38,8,30,21.1
goal_05,24,7,17,29.2
goal_06,33,7,26,21.2
goal_07,28,8,20,28.6
goal_08,32,9,23,28.1
goal_09,25,6,19,24.0
goal_10,35,7,28,20.0
goal_11,24,11,13,45.8
goal_12,26,5,21,19.2
goal_13,31,8,23,25.8
goal_14,22,8,13,36.4
goal_15,35,13,21,37.1
goal_16,37,6,31,16.2
goal_17,27,9,17,33.3
goal_18,31,13,17,41.9
goal_19,29,8,21,27.6
goal_20,31,11,19,35.5
goal_21,29,5,23,17.2
goal_22,41,14,27,34.1
goal_23,25,4,21,16.0
goal_24,38,7,31,18.4
goal_25,27,7,20,25.9
goal_26,35,12,22,34.3
goal_27,27,8,19,29.6
goal_28,22,6,16,27.3
