goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,52,35,17,41,67.3,78.8
goal_02,False,44,27,17,33,61.4,75.0
goal_03,False,45,29,16,38,64.4,84.4
goal_04,False,33,26,7,28,78.8,84.8
goal_05,True,56,39,17,48,69.6,85.7
goal_06,False,56,40,16,47,71.4,83.9
goal_07,False,49,27,22,38,55.1,77.6
goal_08,False,52,37,15,46,71.2,88.5
goal_09,True,34,25,9,28,73.5,82.4
goal_10,True,43,35,8,41,81.4,95.3
goal_11,False,46,26,20,38,56.5,82.6
goal_12,False,43,34,9,39,79.1,90.7
goal_13,True,47,34,13,41,72.3,87.2
goal_14,False,51,33,18,41,64.7,80.4
goal_15,False,45,32,13,37,71.1,82.2
goal_16,False,53,37,16,41,69.8,77.4
goal_17,True,134,95,39,110,70.9,82.1
goal_18,True,121,91,30,108,75.2,89.3
goal_19,True,142,99,43,125,69.7,88.0
goal_20,False,131,91,40,108,69.5,82.4
goal_21,False,127,88,39,105,69.3,82.7
goal_22,False,54,32,21,41,59.3,75.9
goal_23,True,39,25,14,30,64.1,76.9
goal_24,True,136,87,49,108,64.0,79.4
goal_25,True,131,90,41,113,68.7,86.3
goal_26,False,141,103,38,118,73.0,83.7
goal_27,False,139,99,40,118,71.2,84.9
goal_28,False,148,102,46,124,68.9,83.8
