goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,24,3,21,22,12.5,91.7
goal_02,False,36,6,30,36,16.7,100.0
goal_03,False,33,3,30,32,9.1,97.0
goal_04,False,23,2,21,23,8.7,100.0
goal_05,True,32,1,31,31,3.1,96.9
goal_06,False,24,4,20,22,16.7,91.7
goal_07,False,37,3,34,29,8.1,78.4
goal_08,False,30,3,27,28,10.0,93.3
goal_09,True,33,5,28,31,15.2,93.9
goal_10,True,28,3,25,24,10.7,85.7
goal_11,False,28,1,27,26,3.6,92.9
goal_12,False,29,2,27,27,6.9,93.1
goal_13,True,32,3,29,29,9.4,90.6
goal_14,False,24,4,20,23,16.7,95.8
goal_15,False,32,1,31,28,3.1,87.5
goal_16,False,27,2,25,26,7.4,96.3
goal_17,True,13,0,13,11,0.0,84.6
goal_18,True,30,1,29,25,3.3,83.3
goal_19,True,30,8,22,25,26.7,83.3
goal_20,False,24,2,22,20,8.3,83.3
goal_21,False,35,8,27,30,22.9,85.7
goal_22,False,33,2,31,30,6.1,90.9
goal_23,True,28,1,27,25,3.6,89.3
goal_24,True,29,4,25,28,13.8,96.6
goal_25,True,33,2,31,31,6.1,93.9
goal_26,False,29,4,25,27,13.8,93.1
goal_27,False,30,3,27,27,10.0,90.0
goal_28,False,27,6,21,24,22.2,88.9
