goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,28,22,3,78.6
goal_02,47,33,7,70.2
goal_03,39,33,3,84.6
goal_04,39,29,5,74.4
goal_05,32,23,6,71.9
goal_06,26,17,4,65.4
goal_07,36,29,3,80.6
goal_08,36,31,1,86.1
goal_09,34,23,4,67.6
goal_10,35,24,7,68.6
goal_11,29,22,5,75.9
goal_12,33,27,3,81.8
goal_13,35,28,5,80.0
goal_14,30,23,1,76.7
goal_15,31,22,4,71.0
goal_16,34,24,2,70.6
goal_17,35,21,6,60.0
goal_18,23,18,3,78.3
goal_19,34,26,4,76.5
goal_20,35,30,1,85.7
goal_21,29,24,2,82.8
goal_22,30,21,5,70.0
goal_23,29,21,4,72.4
goal_24,39,29,5,74.4
goal_25,32,26,3,81.2
goal_26,31,26,2,83.9
goal_27,33,23,8,69.7
goal_28,30,21,6,70.0
