goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,76,45,30,59.2
goal_02,76,39,33,51.3
goal_03,71,47,23,66.2
goal_04,68,41,27,60.3
goal_05,70,29,38,41.4
goal_06,69,44,23,63.8
goal_07,61,29,31,47.5
goal_08,74,44,29,59.5
goal_09,69,40,23,58.0
goal_10,87,51,35,58.6
goal_11,58,29,29,50.0
goal_12,68,39,27,57.4
goal_13,74,46,25,62.2
goal_14,86,60,25,69.8
goal_15,82,42,39,51.2
goal_16,76,41,33,53.9
goal_17,79,41,34,51.9
goal_18,70,42,27,60.0
goal_19,79,42,36,53.2
goal_20,63,30,31,47.6
goal_21,70,39,28,55.7
goal_22,82,44,36,53.7
goal_23,76,44,31,57.9
goal_24,88,57,30,64.8
goal_25,66,34,30,51.5
goal_26,78,46,31,59.0
goal_27,69,44,24,63.8
goal_28,66,29,35,43.9
