goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,74,31,3,74,41.9,100.0
goal_02,False,72,33,2,72,45.8,100.0
goal_03,False,79,43,4,79,54.4,100.0
goal_04,False,68,28,0,68,41.2,100.0
goal_05,True,70,28,1,70,40.0,100.0
goal_06,False,68,42,2,68,61.8,100.0
goal_07,False,65,32,1,65,49.2,100.0
goal_08,False,60,29,1,60,48.3,100.0
goal_09,True,71,41,3,71,57.7,100.0
goal_10,True,73,32,1,73,43.8,100.0
goal_11,False,58,33,2,58,56.9,100.0
goal_12,False,64,31,2,64,48.4,100.0
goal_13,True,81,39,1,81,48.1,100.0
goal_14,False,78,44,1,78,56.4,100.0
goal_15,False,75,39,3,75,52.0,100.0
goal_16,False,76,35,2,76,46.1,100.0
goal_17,True,67,31,1,67,46.3,100.0
goal_18,True,68,41,1,68,60.3,100.0
goal_19,True,67,26,0,67,38.8,100.0
goal_20,False,61,26,1,61,42.6,100.0
goal_21,False,64,31,2,64,48.4,100.0
goal_22,False,76,39,4,76,51.3,100.0
goal_23,True,62,28,2,62,45.2,100.0
goal_24,True,67,36,2,67,53.7,100.0
goal_25,True,65,30,2,65,46.2,100.0
goal_26,False,72,33,4,72,45.8,100.0
goal_27,False,78,44,2,78,56.4,100.0
goal_28,False,74,44,3,74,59.5,100.0
