goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,159,157,2,157,98.7,98.7
goal_02,False,146,142,3,142,97.3,97.3
goal_03,False,159,157,2,157,98.7,98.7
goal_04,False,178,171,5,171,96.1,96.1
goal_05,True,160,158,2,158,98.8,98.8
goal_06,False,161,158,2,158,98.1,98.1
goal_07,False,180,176,4,176,97.8,97.8
goal_08,False,184,180,3,180,97.8,97.8
goal_09,True,157,156,1,156,99.4,99.4
goal_10,True,153,149,3,149,97.4,97.4
goal_11,False,166,163,2,163,98.2,98.2
goal_12,False,170,164,5,164,96.5,96.5
goal_13,True,152,146,4,146,96.1,96.1
goal_14,False,154,149,4,149,96.8,96.8
goal_15,False,176,173,3,173,98.3,98.3
goal_16,False,184,181,2,181,98.4,98.4
goal_17,True,159,154,4,154,96.9,96.9
goal_18,True,170,163,4,163,95.9,95.9
goal_19,True,144,140,3,140,97.2,97.2
goal_20,False,160,153,7,153,95.6,95.6
goal_21,False,172,168,4,168,97.7,97.7
goal_22,False,169,167,2,167,98.8,98.8
goal_23,True,152,149,3,149,98.0,98.0
goal_24,True,149,147,2,147,98.7,98.7
goal_25,True,157,154,3,154,98.1,98.1
goal_26,False,154,152,2,152,98.7,98.7
goal_27,False,158,152,5,152,96.2,96.2
goal_28,False,159,156,3,156,98.1,98.1
