goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,2,1,1,50.0
goal_02,1,0,1,0.0
goal_03,3,1,2,33.3
goal_04,3,1,1,33.3
goal_05,4,2,2,50.0
goal_06,2,0,2,0.0
goal_07,3,0,3,0.0
goal_08,3,1,1,33.3
goal_09,2,1,1,50.0
goal_10,4,2,2,50.0
goal_11,4,0,4,0.0
goal_12,8,3,5,37.5
goal_13,3,1,2,33.3
goal_14,4,3,1,75.0
goal_15,2,0,2,0.0
goal_16,4,2,2,50.0
goal_17,3,1,1,33.3
goal_18,3,2,1,66.7
goal_19,3,2,1,66.7
goal_20,7,0,6,0.0
goal_21,3,1,0,33.3
goal_22,4,0,4,0.0
goal_23,5,5,0,100.0
goal_24,1,0,1,0.0
goal_25,5,1,4,20.0
goal_26,4,1,3,25.0
goal_27,4,2,2,50.0
goal_28,6,4,2,66.7
