goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,20,15,5,19,75.0,95.0
goal_02,False,18,12,6,17,66.7,94.4
goal_03,False,28,15,12,23,53.6,82.1
goal_04,False,29,16,13,24,55.2,82.8
goal_05,True,28,21,7,23,75.0,82.1
goal_06,False,20,13,6,17,65.0,85.0
goal_07,False,23,15,7,20,65.2,87.0
goal_08,False,22,15,6,18,68.2,81.8
goal_09,True,32,20,12,27,62.5,84.4
goal_10,True,16,13,3,16,81.2,100.0
goal_11,False,20,14,6,17,70.0,85.0
goal_12,False,18,11,7,13,61.1,72.2
goal_13,True,37,24,10,30,64.9,81.1
goal_14,False,26,16,10,19,61.5,73.1
goal_15,False,24,17,4,20,70.8,83.3
goal_16,False,25,15,10,20,60.0,80.0
goal_17,True,21,16,5,21,76.2,100.0
goal_18,True,22,17,4,21,77.3,95.5
goal_19,True,24,14,10,19,58.3,79.2
goal_20,False,19,12,6,15,63.2,78.9
goal_21,False,27,21,4,25,77.8,92.6
goal_22,False,29,16,13,22,55.2,75.9
goal_23,True,24,13,11,22,54.2,91.7
goal_24,True,33,25,6,31,75.8,93.9
goal_25,True,16,10,3,13,62.5,81.2
goal_26,False,27,21,5,26,77.8,96.3
goal_27,False,24,20,4,23,83.3,95.8
goal_28,False,21,16,4,19,76.2,90.5
