goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,12,1,11,11,8.3,91.7
goal_02,False,18,4,14,14,22.2,77.8
goal_03,False,17,8,9,15,47.1,88.2
goal_04,False,11,4,7,7,36.4,63.6
goal_05,True,18,7,11,15,38.9,83.3
goal_06,False,15,10,5,14,66.7,93.3
goal_07,False,12,5,7,11,41.7,91.7
goal_08,False,12,6,6,10,50.0,83.3
goal_09,True,11,5,6,9,45.5,81.8
goal_10,True,16,6,10,14,37.5,87.5
goal_11,False,11,3,8,10,27.3,90.9
goal_12,False,16,11,5,15,68.8,93.8
goal_13,True,10,1,9,8,10.0,80.0
goal_14,False,16,8,8,15,50.0,93.8
goal_15,False,19,7,12,18,36.8,94.7
goal_16,False,18,7,11,15,38.9,83.3
goal_17,True,16,6,10,14,37.5,87.5
goal_18,True,22,5,17,21,22.7,95.5
goal_19,True,14,7,7,13,50.0,92.9
goal_20,False,12,6,6,11,50.0,91.7
goal_21,False,20,13,7,18,65.0,90.0
goal_22,False,14,3,11,13,21.4,92.9
goal_23,True,13,6,7,10,46.2,76.9
goal_24,True,9,4,5,7,44.4,77.8
goal_25,True,12,5,7,10,41.7,83.3
goal_26,False,7,3,4,6,42.9,85.7
goal_27,False,18,10,8,17,55.6,94.4
goal_28,False,15,8,7,14,53.3,93.3
