goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,105,62,43,59.0
goal_02,102,54,47,52.9
goal_03,96,56,39,58.3
goal_04,89,51,38,57.3
goal_05,88,51,36,58.0
goal_06,112,73,39,65.2
goal_07,92,50,40,54.3
goal_08,94,63,31,67.0
goal_09,98,57,41,58.2
goal_10,94,57,37,60.6
goal_11,105,58,45,55.2
goal_12,114,72,42,63.2
goal_13,107,56,50,52.3
goal_14,107,60,47,56.1
goal_15,99,56,43,56.6
goal_16,124,71,52,57.3
goal_17,100,59,41,59.0
goal_18,111,61,50,55.0
goal_19,99,61,38,61.6
goal_20,115,56,58,48.7
goal_21,88,46,42,52.3
goal_22,106,60,46,56.6
goal_23,97,52,44,53.6
goal_24,83,44,38,53.0
goal_25,106,59,47,55.7
goal_26,107,64,43,59.8
goal_27,100,50,50,50.0
goal_28,109,59,50,54.1
