episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton,policy_stage,evaluation_variant,dynamic_replanning,architecture,model_seed,warehouse,repetition,episode_seed,result,collision_phase,simulated_time,replan_attempts,replan_successes,pedestrian_initial_position
1,goal_001,1,exito,5731,1013.04,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,1,3002369663,exito,,183.392,0,0,"[-6.6, -11.156823734612608]"
2,goal_001,2,exito,5731,1013.04,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,2,738056133,exito,,183.392,0,0,"[-6.6, 12.607669021948672]"
3,goal_001,3,exito,5721,1009.17,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,3,1559947091,exito,,183.072,0,0,"[-6.6, -10.994451377213634]"
4,goal_001,4,exito,5720,1017.41,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,4,3265164016,exito,,183.04,0,0,"[-6.6, 12.698546255969529]"
5,goal_001,5,exito,5720,1016.75,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,5,3046720102,exito,,183.04,0,0,"[-6.6, -8.126605376019883]"
6,goal_001,6,exito,5720,1016.68,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,6,747639772,exito,,183.04,0,0,"[-6.6, 7.500591584258465]"
7,goal_001,7,col_exit,3055,290.17,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,7,1536631626,col_exit,exit,97.76,0,0,"[-6.6, 11.841701155725293]"
8,goal_001,8,exito,5670,847.78,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,8,3408412379,exito,,181.44,0,0,"[-6.6, 5.865675484641105]"
9,goal_001,9,exito,5720,1016.57,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,9,3157200461,exito,,183.04,0,0,"[-6.6, -6.407559817394147]"
10,goal_001,10,exito,5720,1016.69,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,10,886261514,exito,,183.04,0,0,"[-6.6, 1.7272660986667958]"
11,goal_002,1,col_exit,2944,286.46,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,1,3006721096,col_exit,exit,94.208,0,0,"[-6.6, -5.982278209740184]"
12,goal_002,2,col_exit,2825,-492.22,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,2,708820466,col_exit,exit,90.4,0,0,"[-6.6, -3.2396642199025973]"
13,goal_002,3,exito,5654,1023.07,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,3,1563987300,exito,,180.928,0,0,"[-6.6, -6.419527686275746]"
14,goal_002,4,exito,5708,1006.76,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,4,3277592775,exito,,182.656,0,0,"[-6.6, 10.32056577700141]"
15,goal_002,5,exito,5707,1006.02,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,5,3025872977,exito,,182.624,0,0,"[-6.6, -10.564276756868834]"
16,goal_002,6,col_exit,2876,-497.07,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,6,760379883,col_exit,exit,92.032,0,0,"[-6.6, -3.7233657282563755]"
17,goal_002,7,exito,5654,1022.92,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,7,1515538813,exito,,180.928,0,0,"[-6.6, 3.9178221333224417]"
18,goal_002,8,exito,5707,1007.22,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,8,3404354796,exito,,182.624,0,0,"[-6.6, -11.059540723860547]"
19,goal_002,9,exito,5707,1005.97,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,9,3186451578,exito,,182.624,0,0,"[-6.6, -4.006171767027654]"
20,goal_002,10,col_exit,2897,-502.09,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,10,2356093039,col_exit,exit,92.704,0,0,"[-6.6, -3.9903270554737813]"
21,goal_003,1,exito,5639,1059.05,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,1,2976928273,exito,,180.448,0,0,"[-6.6, 1.5428467005195279]"
22,goal_003,2,exito,5637,1058.9,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,2,679019435,exito,,180.384,0,0,"[-6.6, 1.77566461292249]"
23,goal_003,3,exito,5637,1056.94,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,3,1602106173,exito,,180.384,0,0,"[-6.6, 12.442246853566411]"
24,goal_003,4,exito,5637,1057.29,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,4,3239749278,exito,,180.384,0,0,"[-6.6, 7.352052470538352]"
25,goal_003,5,exito,5637,1058.89,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,5,3055392264,exito,,180.384,0,0,"[-6.6, 5.925724153613909]"
26,goal_003,6,exito,5637,1056.35,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,6,789890994,exito,,180.384,0,0,"[-6.6, -4.667154357636244]"
27,goal_003,7,exito,5637,1042.72,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,7,1477703460,exito,,180.384,0,0,"[-6.6, -0.6988923137896175]"
28,goal_003,8,exito,5637,1058.89,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,8,3366775477,exito,,180.384,0,0,"[-6.6, -10.717774863414968]"
29,goal_003,9,exito,5637,1058.89,02,sthwp,42,1,E2.1,E2.1-R0,False,sthwp,42,02,9,3215710755,exito,,180.384,0,0,"[-6.6, 9.083160857115786]"
