episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton,policy_stage,evaluation_variant,dynamic_replanning,architecture,model_seed,warehouse,repetition,episode_seed,result,collision_phase,simulated_time,replan_attempts,replan_successes,pedestrian_initial_position
1,goal_001,1,exito,4158,804.37,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,1,3352935965,exito,,133.056,0,0,"[-2.901943135115027, -5.6]"
2,goal_001,2,exito,4156,803.88,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,2,1590751143,exito,,132.992,0,0,"[-0.8474597736704879, -5.6]"
3,goal_001,3,exito,4156,803.0,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,3,702013233,exito,,132.992,0,0,"[-5.647267026232227, -5.6]"
4,goal_001,4,exito,4156,804.24,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,4,3081980562,exito,,132.992,0,0,"[-0.8769652656551208, -5.6]"
5,goal_001,5,exito,4156,803.54,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,5,3233053188,exito,,132.992,0,0,"[-3.0211285985270218, -5.6]"
6,goal_001,6,exito,4156,801.72,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,6,1505569726,exito,,132.992,0,0,"[-3.7538039611952754, -5.6]"
7,goal_001,7,exito,4156,803.57,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,7,783948584,exito,,132.992,0,0,"[-1.7726157544721612, -5.6]"
8,goal_001,8,exito,4156,804.53,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,8,3188000441,exito,,132.992,0,0,"[-6.826165635669439, -5.6]"
9,goal_001,9,exito,4156,804.49,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,9,3372365359,exito,,132.992,0,0,"[-6.072992801247236, -5.6]"
10,goal_001,10,exito,4156,803.22,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,10,2535090758,exito,,132.992,0,0,"[-0.47662305707646907, -5.6]"
11,goal_002,1,exito,4163,799.96,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,1,3323712554,exito,,133.216,0,0,"[-6.259636246116541, -5.6]"
12,goal_002,2,exito,4161,800.76,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,2,1595049360,exito,,133.152,0,0,"[-5.0474244446930205, -5.6]"
13,goal_002,3,exito,4161,798.95,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,3,672511238,exito,,133.152,0,0,"[-1.4484625346458528, -5.6]"
14,goal_002,4,exito,4161,798.31,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,4,3060867237,exito,,133.152,0,0,"[-6.078170207485436, -5.6]"
15,goal_002,5,exito,4161,800.34,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,5,3245740083,exito,,133.152,0,0,"[-2.7556357493637975, -5.6]"
16,goal_002,6,exito,4161,800.77,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,6,1484734857,exito,,133.152,0,0,"[-2.7125768891130133, -5.6]"
17,goal_002,7,exito,4161,800.49,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,7,796422431,exito,,133.152,0,0,"[-3.283109212884371, -5.6]"
18,goal_002,8,exito,4161,799.29,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,8,3217517710,exito,,133.152,0,0,"[-2.676767253227319, -5.6]"
19,goal_002,9,exito,4161,800.0,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,9,3368049688,exito,,133.152,0,0,"[-7.462228559370923, -5.6]"
20,goal_002,10,exito,4161,800.52,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,10,799411491,exito,,133.152,0,0,"[-5.75208225571708, -5.6]"
21,goal_003,1,exito,4161,799.12,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,1,3294456435,exito,,133.152,0,0,"[-5.726247929116363, -5.6]"
22,goal_003,2,exito,4161,799.32,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,2,1565801417,exito,,133.152,0,0,"[-7.679670357169717, -5.6]"
23,goal_003,3,exito,4161,801.37,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,3,710085471,exito,,133.152,0,0,"[-0.27932928193926454, -5.6]"
24,goal_003,4,exito,4161,801.35,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,4,3023544060,exito,,133.152,0,0,"[-0.742216040819513, -5.6]"
25,goal_003,5,exito,4161,800.84,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,5,3274747498,exito,,133.152,0,0,"[-2.716599775515048, -5.6]"
26,goal_003,6,exito,4161,799.83,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,6,1513750480,exito,,133.152,0,0,"[-0.9775729486159207, -5.6]"
27,goal_003,7,exito,4161,800.88,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,7,759091014,exito,,133.152,0,0,"[-1.6213269786726439, -5.6]"
28,goal_003,8,exito,4161,800.81,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,8,3179401943,exito,,133.152,0,0,"[-0.6085296457805066, -5.6]"
29,goal_003,9,exito,4161,798.71,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,9,3397837377,exito,,133.152,0,0,"[-1.217522040936835, -5.6]"
30,goal_003,10,exito,4162,799.98,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,10,1024697037,exito,,133.184,0,0,"[-0.6895831090622234, -5.6]"
31,goal_004,1,exito,4162,800.77,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,1,3315531844,exito,,133.184,0,0,"[-4.789926372479868, -5.6]"
32,goal_004,2,exito,4162,800.78,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,2,1553355262,exito,,133.184,0,0,"[-4.160018554864163, -5.6]"
33,goal_004,3,exito,4162,800.03,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,3,730947944,exito,,133.184,0,0,"[-1.306492873997104, -5.6]"
34,goal_004,4,exito,4162,799.3,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,4,3052795083,exito,,133.184,0,0,"[-0.8540232918474042, -5.6]"
35,goal_004,5,exito,4162,800.5,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,5,3270689885,exito,,133.184,0,0,"[-6.631512485943505, -5.6]"
36,goal_004,6,exito,4162,799.89,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,6,1543214567,exito,,133.184,0,0,"[-4.734479820724013, -5.6]"
37,goal_004,7,exito,4162,798.02,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,7,754754929,exito,,133.184,0,0,"[-4.279982928050854, -5.6]"
38,goal_004,8,exito,4162,799.57,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,8,3158554848,exito,,133.184,0,0,"[-6.821913213496629, -5.6]"
39,goal_004,9,exito,4162,800.76,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,9,3410266230,exito,,133.184,0,0,"[-5.492262819787585, -5.6]"
40,goal_004,10,exito,4162,800.75,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,10,2242889128,exito,,133.184,0,0,"[-6.797360245799131, -5.6]"
41,goal_005,1,exito,4160,801.31,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,1,3234862785,exito,,133.12,0,0,"[-2.507894104784331, -5.6]"
42,goal_005,2,exito,4160,800.97,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,2,1507411835,exito,,133.12,0,0,"[-5.973776862814502, -5.6]"
43,goal_005,3,exito,4160,802.29,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,3,786331629,exito,,133.12,0,0,"[-4.796726796451372, -5.6]"
44,goal_005,4,exito,4160,801.01,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,4,2965037646,exito,,133.12,0,0,"[-0.15516156245629287, -5.6]"
45,goal_005,5,exito,4160,799.59,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,5,3351106264,exito,,133.12,0,0,"[-7.915582582816427, -5.6]"
46,goal_005,6,exito,4160,801.56,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,6,1588888418,exito,,133.12,0,0,"[-2.1467817680128576, -5.6]"
47,goal_005,7,exito,4160,802.28,03,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,03,7,699642868,exito,,133.12,0,0,"[-4.692069173157152, -5.6]"
