episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton,policy_stage,evaluation_variant,dynamic_replanning,architecture,model_seed,warehouse,repetition,episode_seed,result,collision_phase,simulated_time,replan_attempts,replan_successes,pedestrian_initial_position
1,goal_001,1,exito,11208,1837.81,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,1,506815358,exito,,358.656,0,0,"[-19.8, 5.676694913986228]"
2,goal_001,2,exito,11175,1842.24,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,2,2268869316,exito,,357.6,0,0,"[-19.8, -0.4615626419017689]"
3,goal_001,3,exito,11175,1842.24,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,3,4030399058,exito,,357.6,0,0,"[-19.8, -15.902689909286844]"
4,goal_001,4,exito,11175,1841.13,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,4,1851758577,exito,,357.6,0,0,"[-19.8, -17.497514518033157]"
5,goal_001,5,exito,11175,1842.23,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,5,425240423,exito,,357.6,0,0,"[-19.8, -23.57937083678265]"
6,goal_001,6,exito,11175,1842.24,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,6,2152855261,exito,,357.6,0,0,"[-19.8, 0.2420550442369218]"
7,goal_001,7,exito,11175,1842.24,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,7,4149659211,exito,,357.6,0,0,"[-19.8, -24.38518161472372]"
8,goal_001,8,exito,11175,1842.23,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,8,1743379418,exito,,357.6,0,0,"[-19.8, -6.223938803724468]"
9,goal_001,9,exito,11175,1842.23,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,9,284093260,exito,,357.6,0,0,"[-19.8, -5.868560674759493]"
10,goal_001,10,exito,11175,1842.24,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,10,1131984505,exito,,357.6,0,0,"[-19.8, 15.617076086218162]"
11,goal_002,1,exito,11150,1823.62,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,1,536283465,exito,,356.8,0,0,"[-19.8, -16.888222544685714]"
12,goal_002,2,exito,11150,1841.85,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,2,2264815859,exito,,356.8,0,0,"[-19.8, 16.853166308055062]"
13,goal_002,3,exito,11150,1841.81,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,3,4059654245,exito,,356.8,0,0,"[-19.8, 12.984477406695005]"
14,goal_002,4,exito,11150,1841.8,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,4,1872625094,exito,,356.8,0,0,"[-19.8, -26.957402069344255]"
15,goal_002,5,exito,11150,1841.78,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,5,412798288,exito,,356.8,0,0,"[-19.8, 22.470407847003933]"
16,goal_002,6,exito,11150,1841.81,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,6,2173934826,exito,,356.8,0,0,"[-19.8, 16.402409535971973]"
17,goal_002,7,exito,11150,1841.78,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,7,4136938620,exito,,356.8,0,0,"[-19.8, 13.87542116432849]"
18,goal_002,8,exito,11150,1839.9,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,8,1714139629,exito,,356.8,0,0,"[-19.8, 8.42722706185273]"
19,goal_002,9,exito,11150,1841.81,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,9,288129403,exito,,356.8,0,0,"[-19.8, 7.296867364474372]"
20,goal_002,10,exito,11150,1841.81,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,10,4223979804,exito,,356.8,0,0,"[-19.8, -2.7716228546294235]"
21,goal_003,1,exito,11166,1855.77,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,1,498186000,exito,,357.312,0,0,"[-19.8, -13.807113539989118]"
22,goal_003,2,exito,11166,1855.78,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,2,2226710186,exito,,357.312,0,0,"[-19.8, 13.810850237602542]"
23,goal_003,3,exito,11166,1855.77,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,3,4089435708,exito,,357.312,0,0,"[-19.8, -2.253424399370942]"
24,goal_003,4,exito,11166,1855.78,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,4,1843086239,exito,,357.312,0,0,"[-19.8, 14.570150217239606]"
25,goal_003,5,exito,11166,1855.77,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,5,450654985,exito,,357.312,0,0,"[-19.8, 12.877199590502173]"
26,goal_003,6,exito,11166,1855.78,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,6,2211783347,exito,,357.312,0,0,"[-19.8, 5.997557082884978]"
27,goal_003,7,exito,11166,1855.77,04,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,04,7,4107407909,exito,,357.312,0,0,"[-19.8, 15.595461044526807]"
