episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton,policy_stage,evaluation_variant,dynamic_replanning,architecture,model_seed,warehouse,repetition,episode_seed,result,collision_phase,simulated_time,replan_attempts,replan_successes,pedestrian_initial_position
1,goal_001,1,exito,4146,843.22,03,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,03,1,2939885069,exito,,132.672,0,0,"[-1.2802547865519702, -5.6]"
2,goal_001,2,exito,4143,842.07,03,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,03,2,909264823,exito,,132.576,0,0,"[-7.470927848952924, -5.6]"
3,goal_001,3,exito,4143,841.63,03,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,03,3,1094022945,exito,,132.576,0,0,"[-4.581615009898802, -5.6]"
4,goal_001,4,exito,4143,843.08,03,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,03,4,3746685570,exito,,132.576,0,0,"[-8.172923025039452, -5.6]"
5,goal_001,5,exito,4143,841.33,03,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,03,5,2824262164,exito,,132.576,0,0,"[-3.946821944536031, -5.6]"
6,goal_001,6,exito,4143,840.98,03,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,03,6,828343214,exito,,132.576,0,0,"[-8.422675726895585, -5.6]"
7,goal_001,7,exito,4143,843.08,03,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,03,7,1180218168,exito,,132.576,0,0,"[-0.5005255343039858, -5.6]"
8,goal_001,8,exito,4143,843.09,03,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,03,8,3605507753,exito,,132.576,0,0,"[-7.859599368054516, -5.6]"
9,goal_001,9,exito,4143,841.88,03,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,03,9,2715852351,exito,,132.576,0,0,"[-5.708043688903408, -5.6]"
10,goal_001,10,exito,4145,842.07,03,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,03,10,2328205450,exito,,132.64,0,0,"[-1.0486387505086856, -5.6]"
11,goal_002,1,exito,4144,840.94,03,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,03,1,2935585850,exito,,132.608,0,0,"[-4.640670647268086, -5.6]"
