episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton,policy_stage,evaluation_variant,dynamic_replanning,architecture,model_seed,warehouse,repetition,episode_seed,result,collision_phase,simulated_time,replan_attempts,replan_successes,pedestrian_initial_position
1,goal_001,1,exito,11264,1754.53,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,1,1979277837,exito,,360.448,0,0,"[-19.8, -16.12955133574357]"
2,goal_001,2,exito,11249,1756.38,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,2,3975164855,exito,,359.968,0,0,"[-19.8, 27.260908611853242]"
3,goal_001,3,exito,11249,1756.39,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,3,2616656673,exito,,359.968,0,0,"[-19.8, -2.27314833260819]"
4,goal_001,4,exito,11248,1756.3,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,4,93558402,exito,,359.936,0,0,"[-19.8, 14.30921028603678]"
5,goal_001,5,exito,11248,1756.32,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,5,1922344468,exito,,359.936,0,0,"[-19.8, -4.625547283570544]"
6,goal_001,6,exito,11248,1756.28,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,6,3952998318,exito,,359.936,0,0,"[-19.8, 18.760871920179934]"
7,goal_001,7,exito,11248,1756.33,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,7,2627389240,exito,,359.936,0,0,"[-19.8, -4.998482373263997]"
8,goal_001,8,exito,11248,1756.35,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,8,203807401,exito,,359.936,0,0,"[-19.8, 12.178492926764495]"
9,goal_001,9,exito,11247,1756.07,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,9,2065885759,exito,,359.904,0,0,"[-19.8, 9.521480826178898]"
10,goal_001,10,exito,11248,1756.34,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,10,2317310718,exito,,359.936,0,0,"[-19.8, 22.995146712163322]"
11,goal_002,1,exito,11200,1754.98,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,1,1950025786,exito,,358.4,0,0,"[-19.8, 9.656691035820597]"
12,goal_002,2,exito,11202,1755.27,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,2,3979499904,exito,,358.464,0,0,"[-19.8, 8.84461279405311]"
13,goal_002,3,exito,11200,1755.28,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,3,2587191574,exito,,358.4,0,0,"[-19.8, 21.709357170583203]"
14,goal_002,4,exito,11198,1755.02,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,4,72481973,exito,,358.336,0,0,"[-19.8, -22.937913935565604]"
15,goal_002,5,exito,11198,1755.0,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,5,1935068195,exito,,358.336,0,0,"[-19.8, -19.54235607872998]"
16,goal_002,6,exito,11198,1753.86,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,6,3932134809,exito,,358.336,0,0,"[-19.8, 23.0615323421914]"
17,goal_002,7,exito,11202,1755.3,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,7,2639834383,exito,,358.464,0,0,"[-19.8, -18.361329209576386]"
18,goal_002,8,exito,11202,1755.28,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,8,233287838,exito,,358.464,0,0,"[-19.8, 22.56130715992787]"
19,goal_002,9,exito,11202,1755.27,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,9,2061533192,exito,,358.464,0,0,"[-19.8, 3.040921281984806]"
20,goal_002,10,exito,11200,1755.25,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,10,849558939,exito,,358.4,0,0,"[-19.8, 7.433453934813196]"
21,goal_003,1,exito,11206,1752.67,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,1,1987950179,exito,,358.592,0,0,"[-19.8, -13.446503869986499]"
22,goal_003,2,exito,11209,1751.66,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,2,4017416153,exito,,358.688,0,0,"[-19.8, 3.6391954752059466]"
23,goal_003,3,exito,11206,1747.01,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,3,2557728591,exito,,358.592,0,0,"[-19.8, 17.472232847631624]"
24,goal_003,4,exito,11206,1752.7,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,4,102187756,exito,,358.592,0,0,"[-19.8, 20.15533265989029]"
25,goal_003,5,exito,11206,1740.01,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,5,1896903290,exito,,358.592,0,0,"[-19.8, -20.446435042271077]"
26,goal_003,6,exito,11206,1752.7,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,6,3893961664,exito,,358.592,0,0,"[-19.8, 17.209806062220537]"
27,goal_003,7,exito,11206,1752.73,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,7,2669548374,exito,,358.592,0,0,"[-19.8, 24.747539682324405]"
28,goal_003,8,exito,11206,1752.71,04,subwp,123,1,E2.1,E2.1-R0,False,subwp,123,04,8,262213319,exito,,358.592,0,0,"[-19.8, -18.36503043489306]"
