episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton,policy_stage,evaluation_variant,dynamic_replanning,architecture,model_seed,warehouse,repetition,episode_seed,result,collision_phase,simulated_time,replan_attempts,replan_successes,pedestrian_initial_position
1,goal_001,1,exito,5808,1011.85,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,1,2440402654,exito,,185.856,0,0,"[-6.6, -3.6192450742691253]"
2,goal_001,2,exito,5771,1019.87,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,2,142395236,exito,,184.672,0,0,"[-6.6, 4.798796812899799]"
3,goal_001,3,exito,5770,977.12,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,3,2138830834,exito,,184.64,0,0,"[-6.6, -2.520470901008405]"
4,goal_001,4,exito,5771,1020.57,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,4,3776930385,exito,,184.672,0,0,"[-6.6, -7.437921887451638]"
5,goal_001,5,exito,5770,1020.14,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,5,2518176455,exito,,184.64,0,0,"[-6.6, -9.111797832457302]"
6,goal_001,6,col_exit,2944,279.21,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,6,252773245,col_exit,exit,94.208,0,0,"[-6.6, 1.7260685096797241]"
7,goal_001,7,col_exit,3122,250.74,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,7,2014721003,col_exit,exit,99.904,0,0,"[-6.6, -10.049455784095628]"
8,goal_001,8,col_exit,2985,-53.92,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,8,3903401594,col_exit,exit,95.52,0,0,"[-6.6, -8.328620586999827]"
9,goal_001,9,exito,5772,1019.82,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,9,2678988524,exito,,184.704,0,0,"[-6.6, -9.850950987280244]"
10,goal_001,10,exito,5770,1020.22,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,10,2501989732,exito,,184.64,0,0,"[-6.6, 3.9691288337985178]"
11,goal_002,1,exito,5750,1003.66,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,1,2427976937,exito,,184.0,0,0,"[-6.6, -1.6262050194705915]"
12,goal_002,2,col_exit,3045,297.33,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,2,163491155,col_exit,exit,97.44,0,0,"[-6.6, -10.875644115142405]"
13,goal_002,3,col_exit,2919,-408.97,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,3,2126093765,col_exit,exit,93.408,0,0,"[-6.6, 4.1929847661998645]"
14,goal_002,4,exito,5753,1015.08,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,4,3772581990,exito,,184.096,0,0,"[-6.6, -4.629246079566229]"
15,goal_002,5,exito,5750,1004.27,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,5,2547661040,exito,,184.0,0,0,"[-6.6, -1.2661813666199575]"
16,goal_002,6,exito,5750,1003.73,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,6,248736074,exito,,184.0,0,0,"[-6.6, 6.402106016926626]"
17,goal_002,7,col_exit,3076,284.65,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,7,2043959772,col_exit,exit,98.432,0,0,"[-6.6, -5.508879405352955]"
18,goal_002,8,col_exit,2952,-235.13,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,8,3916121165,col_exit,exit,94.464,0,0,"[-6.6, -10.904070631424254]"
19,goal_002,9,exito,5752,1014.94,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,9,2657907931,exito,,184.064,0,0,"[-6.6, -3.443233236881961]"
20,goal_002,10,exito,5751,1004.61,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,10,765276673,exito,,184.032,0,0,"[-6.6, -12.490092745484452]"
21,goal_003,1,exito,5693,1046.79,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,1,2465284784,exito,,182.176,0,0,"[-6.6, 9.667725469757562]"
22,goal_003,2,exito,5693,1040.38,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,2,200807178,exito,,182.176,0,0,"[-6.6, 3.320421451751377]"
23,goal_003,3,exito,5693,1050.73,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,3,2097095580,exito,,182.176,0,0,"[-6.6, -1.5296848567375296]"
24,goal_003,4,exito,5693,1050.73,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,4,3801855551,exito,,182.176,0,0,"[-6.6, -12.643329173542119]"
25,goal_003,5,exito,5693,1050.73,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,5,2510063273,exito,,182.176,0,0,"[-6.6, -10.881563254505291]"
26,goal_003,6,exito,5693,1050.76,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,6,211146515,exito,,182.176,0,0,"[-6.6, -0.42858117963882075]"
27,goal_003,7,exito,5693,1050.78,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,7,2073225093,exito,,182.176,0,0,"[-6.6, -1.1622284553214481]"
28,goal_003,8,exito,5693,1045.1,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,8,3945658900,exito,,182.176,0,0,"[-6.6, -1.4094905123307482]"
29,goal_003,9,exito,5693,1034.17,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,9,2620050050,exito,,182.176,0,0,"[-6.6, -0.8915388705204205]"
30,goal_003,10,exito,5693,1050.8,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,10,1059626479,exito,,182.176,0,0,"[-6.6, -0.8776002502715909]"
31,goal_004,1,exito,5619,1041.6,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,1,2469603463,exito,,179.808,0,0,"[-6.6, -8.062047919421381]"
32,goal_004,2,exito,5618,1041.53,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,2,171604285,exito,,179.776,0,0,"[-6.6, -4.142431039079981]"
33,goal_004,3,exito,5618,1041.46,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,3,2101168555,exito,,179.776,0,0,"[-6.6, 10.662120792980575]"
34,goal_004,4,exito,5619,1041.56,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,4,3814317064,exito,,179.808,0,0,"[-6.6, -6.671710945126]"
35,goal_004,5,exito,5618,1041.48,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,5,2489248926,exito,,179.776,0,0,"[-6.6, -1.3834337605588534]"
36,goal_004,6,exito,5618,1041.53,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,6,223853860,exito,,179.776,0,0,"[-6.6, 9.082136678213278]"
37,goal_004,7,exito,5619,1041.57,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,7,2052099506,exito,,179.808,0,0,"[-6.6, -9.49903976193839]"
38,goal_004,8,exito,5619,1035.59,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,8,3941568547,exito,,179.808,0,0,"[-6.6, -2.6313268284069466]"
39,goal_004,9,exito,5618,1039.18,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,9,2649268405,exito,,179.776,0,0,"[-6.6, -9.140495545561427]"
40,goal_004,10,exito,5618,1041.48,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,10,2274687626,exito,,179.776,0,0,"[-6.6, 1.3084103082056642]"
41,goal_005,1,exito,5593,1039.13,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,1,2524724738,exito,,178.976,0,0,"[-6.6, -3.1082599067907606]"
42,goal_005,2,exito,5593,1018.47,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,2,259354552,exito,,178.976,0,0,"[-6.6, 10.730011159472955]"
43,goal_005,3,exito,5593,1041.23,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,3,2020761390,exito,,178.976,0,0,"[-6.6, 4.547301004825568]"
44,goal_005,4,exito,5593,1041.28,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,4,3860253325,exito,,178.976,0,0,"[-6.6, -6.073486273219083]"
45,goal_005,5,exito,5593,1035.14,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,5,2433874459,exito,,178.976,0,0,"[-6.6, -3.0263131048114507]"
46,goal_005,6,exito,5593,1041.28,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,6,135834529,exito,,178.976,0,0,"[-6.6, 6.110435527384722]"
47,goal_005,7,exito,5593,1041.27,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,7,2132777783,exito,,178.976,0,0,"[-6.6, -6.9213242951400975]"
48,goal_005,8,exito,5593,1041.2,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,8,4020274854,exito,,178.976,0,0,"[-6.6, 9.800128446744257]"
49,goal_005,9,exito,5593,1041.3,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,9,2561127984,exito,,178.976,0,0,"[-6.6, -9.283277203179312]"
50,goal_005,10,exito,5593,1041.23,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,10,440648243,exito,,178.976,0,0,"[-6.6, 3.812801255875057]"
51,goal_006,1,exito,5579,1039.34,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,1,2545833013,exito,,178.528,0,0,"[-6.6, 7.420810534725669]"
52,goal_006,2,exito,5579,1039.31,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,2,246875535,exito,,178.528,0,0,"[-6.6, -9.867486090150443]"
53,goal_006,3,exito,5579,1039.31,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,3,2041591065,exito,,178.528,0,0,"[-6.6, 12.186744571117147]"
54,goal_006,4,exito,5579,1039.33,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,4,3889471674,exito,,178.528,0,0,"[-6.6, -12.118851485119064]"
55,goal_006,5,exito,5579,1039.28,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,5,2429784108,exito,,178.528,0,0,"[-6.6, 12.11030332085075]"
56,goal_006,6,exito,5578,1039.21,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,6,165331350,exito,,178.496,0,0,"[-6.6, -12.629246169983013]"
57,goal_006,7,exito,5579,1036.76,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,7,2128474368,exito,,178.528,0,0,"[-6.6, -11.415384420326827]"
58,goal_006,8,exito,5579,1039.28,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,8,3999460497,exito,,178.528,0,0,"[-6.6, -6.53434885049713]"
59,goal_006,9,exito,5578,1039.21,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,9,2573589511,exito,,178.496,0,0,"[-6.6, -12.002076420283757]"
60,goal_006,10,exito,5579,1028.88,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,10,2734662998,exito,,178.528,0,0,"[-6.6, 4.005097837741556]"
61,goal_007,1,exito,5569,1037.05,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,1,2516118124,exito,,178.208,0,0,"[-6.6, 0.3893858042484559]"
62,goal_007,2,exito,5569,1037.03,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,2,217168854,exito,,178.208,0,0,"[-6.6, -11.809579769365984]"
63,goal_007,3,exito,5569,1024.28,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,3,2079755072,exito,,178.208,0,0,"[-6.6, 3.3349335602128805]"
64,goal_007,4,exito,5569,1035.31,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,4,3851558627,exito,,178.208,0,0,"[-6.6, 3.3746840600311327]"
65,goal_007,5,exito,5569,1037.07,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,5,2459250293,exito,,178.208,0,0,"[-6.6, 11.530564607915046]"
66,goal_007,6,exito,5569,1031.63,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,6,194805711,exito,,178.208,0,0,"[-6.6, 7.07756882207957]"
67,goal_007,7,exito,5569,1029.73,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,7,2090553177,exito,,178.208,0,0,"[-6.6, 2.946284353271569]"
68,goal_007,8,exito,5569,1037.08,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,8,3961803464,exito,,178.208,0,0,"[-6.6, 13.197162996944202]"
69,goal_007,9,exito,5569,1035.61,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,9,2602787422,exito,,178.208,0,0,"[-6.6, -13.120160916939724]"
70,goal_007,10,exito,5569,1017.1,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,10,2957642424,exito,,178.208,0,0,"[-6.6, -10.86609088909436]"
71,goal_008,1,exito,5566,1037.42,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,1,2486861915,exito,,178.112,0,0,"[-6.6, -10.873508743186203]"
72,goal_008,2,exito,5566,1037.43,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,2,221499873,exito,,178.112,0,0,"[-6.6, 12.216110305269591]"
73,goal_008,3,exito,5566,1017.27,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,3,2050285943,exito,,178.112,0,0,"[-6.6, -2.1820731009404235]"
74,goal_008,4,exito,5566,1037.47,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,4,3830478036,exito,,178.112,0,0,"[-6.6, 11.035626178147403]"
75,goal_008,5,exito,5566,1037.42,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,5,2471969858,exito,,178.112,0,0,"[-6.6, 7.359152998378524]"
76,goal_008,6,exito,5566,1028.35,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,6,173938168,exito,,178.112,0,0,"[-6.6, 7.264312728058814]"
77,goal_008,7,exito,5566,1037.46,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,7,2102994286,exito,,178.112,0,0,"[-6.6, 12.436222369470412]"
78,goal_008,8,exito,5566,1037.43,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,8,3991288063,exito,,178.112,0,0,"[-6.6, -1.002082788386036]"
79,goal_008,9,exito,5566,1034.16,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,9,2598439017,exito,,178.112,0,0,"[-6.6, 6.896057654227691]"
80,goal_008,10,exito,5566,1037.45,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,10,150367709,exito,,178.112,0,0,"[-6.6, 11.715034514039656]"
81,goal_009,1,exito,5566,1037.42,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,1,2674313062,exito,,178.112,0,0,"[-6.6, 11.339907075658589]"
82,goal_009,2,exito,5566,1036.64,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,2,107976412,exito,,178.112,0,0,"[-6.6, -5.712938282944167]"
83,goal_009,3,exito,5566,1037.4,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,3,1902683722,exito,,178.112,0,0,"[-6.6, 1.0797542279894865]"
84,goal_009,4,exito,5566,1037.45,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,4,4010554345,exito,,178.112,0,0,"[-6.6, -4.002059508923679]"
85,goal_009,5,exito,5566,1037.37,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,5,2550858623,exito,,178.112,0,0,"[-6.6, -0.7671415330058834]"
86,goal_009,6,exito,5566,1037.41,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,6,16929477,exito,,178.112,0,0,"[-6.6, -2.6462934723014646]"
87,goal_009,7,exito,5566,1037.44,02,sthwp,123,1,E2.1,E2.1-R0,False,sthwp,123,02,7,1980064339,exito,,178.112,0,0,"[-6.6, 6.872959549505365]"
