episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton,policy_stage,evaluation_variant,dynamic_replanning,architecture,model_seed,warehouse,repetition,episode_seed,result,collision_phase,simulated_time,replan_attempts,replan_successes,pedestrian_initial_position
1,goal_001,1,exito,11254,1833.14,04,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,04,1,1993853806,exito,,360.128,0,0,"[-19.8, 18.694744915378738]"
2,goal_001,2,exito,11241,1834.02,04,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,04,2,4024343252,exito,,359.712,0,0,"[-19.8, -24.33277019918682]"
3,goal_001,3,exito,11241,1834.03,04,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,04,3,2564401730,exito,,359.712,0,0,"[-19.8, 10.360110523400078]"
4,goal_001,4,exito,11240,1833.84,04,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,04,4,113065953,exito,,359.68,0,0,"[-19.8, 22.009168961026404]"
5,goal_001,5,exito,11240,1833.79,04,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,04,5,1908019063,exito,,359.68,0,0,"[-19.8, 23.87784705057495]"
6,goal_001,6,exito,11240,1833.79,04,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,04,6,3904069325,exito,,359.68,0,0,"[-19.8, -5.106879347960696]"
7,goal_001,7,exito,11240,1833.71,04,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,04,7,2679402075,exito,,359.68,0,0,"[-19.8, 26.436740168760736]"
8,goal_001,8,exito,11240,1833.77,04,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,04,8,252408778,exito,,359.68,0,0,"[-19.8, -24.601448650416174]"
9,goal_001,9,exito,11240,1833.81,04,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,04,9,2014069596,exito,,359.68,0,0,"[-19.8, -3.564294943213691]"
10,goal_001,10,exito,11240,1833.85,04,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,04,10,1588020405,exito,,359.68,0,0,"[-19.8, 3.460349982929686]"
