variante,n_episodios,n_semillas,exitos,colisiones,truncamientos,tasa_exito_%,ic95_exito_lo,ic95_exito_hi,tasa_colision_%,ic95_colision_lo,ic95_colision_hi,tasa_truncamiento_%,pasos_media,pasos_mediana,pasos_std,reward_media,reward_mediana,reward_std,llego_estanteria_%,llego_entrega_%
E2.1,8400,3,7455,945,0,88.75,88.06,89.41,11.25,10.59,11.94,0.0,2053.8,2034.0,605.2,454.56,491.66,173.04,no registrada,no registrada
E2.2,8400,3,6409,1991,0,76.3,75.38,77.19,23.7,22.81,24.62,0.0,1953.3,1922.0,620.4,382.3,460.14,218.23,no registrada,no registrada
E2.2b,8400,3,6323,2077,0,75.27,74.34,76.18,24.73,23.82,25.66,0.0,1871.8,1810.0,598.9,383.88,467.16,220.52,no registrada,no registrada
