episodio,resultado,pasos,reward
1,exito,1226,264.83
2,exito,1223,265.08
3,exito,1224,265.04
4,exito,1226,264.76
5,exito,1224,264.92
6,exito,1226,264.82
7,exito,1226,264.87
8,exito,1224,265.0
9,exito,1224,264.98
10,exito,1224,264.94
11,exito,1225,264.94
12,exito,1223,265.18
13,exito,1226,264.66
14,exito,1224,264.92
15,exito,1224,265.14
16,exito,1223,265.15
17,exito,1224,264.98
18,exito,1226,264.71
19,exito,1223,265.02
20,exito,1226,264.77
21,exito,1223,265.09
22,exito,1226,264.86
23,exito,1223,265.25
24,exito,1222,265.19
25,exito,1224,265.15
26,exito,1224,265.13
27,exito,1224,265.09
28,exito,1225,264.84
29,exito,1224,264.91
30,exito,1224,265.16
31,exito,1226,264.74
32,exito,1225,264.98
33,exito,1226,264.73
34,exito,1224,264.91
35,exito,1224,264.95
36,exito,1223,265.08
37,exito,1224,264.91
38,exito,1224,264.98
39,exito,1221,265.27
40,exito,1224,264.94
41,exito,1222,265.29
42,exito,1224,264.98
43,exito,1226,264.91
44,exito,1224,264.98
45,exito,1221,265.24
46,exito,1222,265.16
47,exito,1223,265.25
48,exito,1224,264.79
49,exito,1226,264.65
50,exito,1226,264.66
51,exito,1221,265.11
52,exito,1224,265.06
53,exito,1223,265.02
54,exito,1226,264.83
55,exito,1226,264.85
56,exito,1224,264.96
57,exito,1226,264.73
58,exito,1224,264.92
59,exito,1226,264.79
60,exito,1225,264.98
61,exito,1223,265.16
62,exito,1225,264.88
63,exito,1225,265.01
64,exito,1223,265.16
65,exito,1226,264.77
66,exito,1224,264.95
67,exito,1225,264.94
68,exito,1221,265.23
69,exito,1224,264.95
70,exito,1225,264.94
71,exito,1222,265.16
72,exito,1226,264.73
73,exito,1222,265.16
74,exito,1224,264.91
75,exito,1225,264.95
76,exito,1223,265.08
77,exito,1223,265.07
78,exito,1223,265.25
79,exito,1224,264.79
80,exito,1224,265.05
81,exito,1225,264.89
82,exito,1223,265.06
83,exito,1224,265.1
84,exito,1223,265.22
85,exito,1224,264.94
86,exito,1224,264.98
87,exito,1224,265.13
88,exito,1222,265.12
89,exito,1226,264.82
90,exito,1222,265.18
91,exito,1223,265.16
92,exito,1226,264.88
93,exito,1225,265.02
94,exito,1223,265.16
95,exito,1225,264.99
96,exito,1223,265.16
97,exito,1224,265.05
98,exito,1222,264.96
99,exito,1224,264.92
100,exito,1225,264.94
101,exito,1221,265.18
102,exito,1224,264.91
103,exito,1224,264.91
104,exito,1223,265.15
105,exito,1225,264.99
106,exito,1223,264.94
107,exito,1225,264.52
108,exito,1224,264.92
109,exito,1223,265.02
110,exito,1222,265.19
111,exito,1221,265.23
112,exito,1223,265.15
113,exito,1223,265.02
114,exito,1225,264.85
115,exito,1223,265.14
116,exito,1223,265.24
117,exito,1224,264.94
118,exito,1224,264.92
119,exito,1224,264.98
120,exito,1221,265.18
121,exito,1225,264.94
122,exito,1224,264.94
123,exito,1224,265.02
124,exito,1222,265.19
125,exito,1223,265.16
126,exito,1227,264.83
127,exito,1224,265.15
128,exito,1224,264.74
129,exito,1223,265.16
130,exito,1226,264.73
131,exito,1224,264.94
132,exito,1226,264.75
133,exito,1223,265.16
134,exito,1225,264.89
135,exito,1224,265.09
136,exito,1221,265.11
137,exito,1224,264.92
138,exito,1223,265.06
139,exito,1223,265.09
140,exito,1224,265.12
141,exito,1226,264.84
142,exito,1221,265.23
143,exito,1222,265.29
144,exito,1221,265.23
145,exito,1222,265.28
146,exito,1225,264.84
147,exito,1224,264.92
148,exito,1224,264.92
149,exito,1225,264.84
150,exito,1224,265.04
151,exito,1224,264.95
152,exito,1224,264.92
153,exito,1223,265.14
154,exito,1225,264.84
155,exito,1226,264.71
156,exito,1224,265.15
157,exito,1222,265.12
158,exito,1225,265.01
159,exito,1224,264.73
160,exito,1224,264.91
161,exito,1224,265.05
162,exito,1222,265.19
163,exito,1222,265.19
164,exito,1225,264.99
165,exito,1224,265.08
166,exito,1222,265.28
167,exito,1221,265.22
168,exito,1224,265.06
169,exito,1225,265.02
170,exito,1222,265.19
171,exito,1224,264.98
172,exito,1224,265.16
173,exito,1221,265.36
174,exito,1222,265.18
175,exito,1222,265.16
176,exito,1224,265.13
177,exito,1224,265.15
178,exito,1225,264.58
179,exito,1226,264.82
180,exito,1223,265.07
181,exito,1225,264.99
182,exito,1223,265.25
183,exito,1225,264.9
184,exito,1224,265.05
185,exito,1220,265.29
186,exito,1226,264.76
187,exito,1220,265.17
188,exito,1226,264.65
189,exito,1223,265.06
190,exito,1223,265.15
191,exito,1222,265.18
192,exito,1223,265.06
193,exito,1223,265.06
194,exito,1223,265.25
195,exito,1223,265.06
196,exito,1224,264.95
197,exito,1222,265.12
198,exito,1225,264.88
199,exito,1226,264.66
200,exito,1225,264.88
201,exito,1225,264.99
202,exito,1225,264.89
203,exito,1223,265.25
204,exito,1224,264.92
205,exito,1226,264.92
206,exito,1223,265.22
207,exito,1223,265.06
208,exito,1224,265.13
209,exito,1225,265.0
210,exito,1224,265.13
211,exito,1221,265.17
212,exito,1224,264.97
213,exito,1222,265.04
214,exito,1225,264.96
215,exito,1224,265.14
216,exito,1224,265.16
217,exito,1222,265.19
218,exito,1223,264.86
219,exito,1224,264.74
220,exito,1225,264.94
221,exito,1225,265.01
222,exito,1224,264.74
223,exito,1224,265.16
224,exito,1224,265.05
225,exito,1224,264.97
226,exito,1224,265.12
227,exito,1225,265.0
228,exito,1221,265.23
229,exito,1224,264.91
230,exito,1223,265.16
231,exito,1224,265.15
232,exito,1223,265.16
233,exito,1223,265.09
234,exito,1222,265.25
235,exito,1225,264.84
236,exito,1222,265.19
237,exito,1226,264.82
238,exito,1224,264.98
239,exito,1226,264.76
240,exito,1224,265.13
241,exito,1225,264.91
242,exito,1224,265.16
243,exito,1225,264.9
244,exito,1222,265.19
245,exito,1223,265.25
246,exito,1223,264.86
247,exito,1225,264.92
248,exito,1222,265.19
249,exito,1224,264.95
250,exito,1222,265.12
251,exito,1224,264.91
252,exito,1225,264.85
253,exito,1224,264.94
254,exito,1226,264.9
255,exito,1221,265.22
256,exito,1226,264.77
257,exito,1225,264.85
258,exito,1222,265.28
259,exito,1223,265.15
260,exito,1223,265.16
261,exito,1225,264.93
262,exito,1226,264.86
263,exito,1223,265.16
264,exito,1224,264.97
265,exito,1225,264.91
266,exito,1224,265.13
267,exito,1223,265.15
268,exito,1224,265.05
269,exito,1226,264.74
270,exito,1224,264.91
271,exito,1224,264.91
272,exito,1224,265.04
273,exito,1224,265.04
274,exito,1223,265.05
275,exito,1225,264.52
276,exito,1224,264.98
277,exito,1223,265.07
278,exito,1224,265.12
279,exito,1223,265.02
280,exito,1222,265.27
281,exito,1226,264.77
282,exito,1222,265.19
283,exito,1226,264.77
284,exito,1224,265.12
285,exito,1226,264.91
286,exito,1223,265.26
287,exito,1224,265.15
288,exito,1226,264.67
289,exito,1226,264.91
290,exito,1224,265.16
291,exito,1225,264.88
292,exito,1222,265.28
293,exito,1225,264.99
294,exito,1225,264.8
295,exito,1226,264.76
296,exito,1225,264.89
297,exito,1224,265.12
298,exito,1224,264.98
299,exito,1221,265.22
300,exito,1223,265.06

RESUMEN_GLOBAL,,,
n_total,300,,
exito_%,100.0,,
colision_%,0.0,,
truncado_%,0.0,,
pasos_medio,1223.9,,
reward_medio,265.0,,
