episodio,goal_id,resultado,pasos,reward,heading_rad
127,goal_02,exito,389,90.16,-3.128
128,goal_02,exito,389,90.19,-3.1215
129,goal_02,exito,389,90.18,-3.1219
130,goal_02,exito,389,90.18,-3.1227
131,goal_02,exito,389,90.18,-3.1247
132,goal_02,exito,389,90.19,-3.1195
133,goal_02,exito,389,90.19,-3.1217
134,goal_02,exito,389,90.17,-3.1259
135,goal_02,exito,389,90.19,-3.1213
136,goal_02,exito,389,90.2,-3.1215
137,goal_02,exito,389,90.16,-3.1256
138,goal_02,exito,389,90.17,-3.1251
139,goal_02,exito,389,90.23,-3.1182
140,goal_02,exito,389,90.16,-3.1255
141,goal_02,exito,389,90.16,-3.1254
142,goal_02,exito,389,90.2,-3.1202
143,goal_02,exito,389,90.19,-3.1222
144,goal_02,exito,389,90.17,-3.1252
145,goal_02,exito,389,90.18,-3.1227
146,goal_02,exito,389,90.19,-3.1204
147,goal_02,exito,389,90.19,-3.1237
148,goal_02,exito,389,90.18,-3.1234
149,goal_02,exito,389,90.18,-3.1218
150,goal_02,exito,389,90.2,-3.1206
151,goal_02,exito,389,90.16,-3.1275
152,goal_02,exito,389,90.21,-3.1204
153,goal_02,exito,389,90.19,-3.1221
154,goal_02,exito,389,90.15,-3.1263
155,goal_02,exito,389,90.2,-3.122
156,goal_02,exito,389,90.2,-3.1206
157,goal_02,exito,389,90.17,-3.1248
158,goal_02,exito,389,90.17,-3.1259
159,goal_02,exito,389,90.2,-3.1201
160,goal_02,exito,389,90.19,-3.1225
161,goal_02,exito,389,90.17,-3.1249
162,goal_02,exito,389,90.17,-3.1238
163,goal_02,exito,389,90.21,-3.1186
164,goal_02,exito,389,90.18,-3.1247
165,goal_02,exito,389,90.18,-3.122
166,goal_02,exito,389,90.2,-3.1203
167,goal_02,exito,389,90.18,-3.1233
168,goal_02,exito,389,90.17,-3.1257
169,goal_02,exito,389,90.2,-3.121
170,goal_02,exito,389,90.18,-3.122
171,goal_02,exito,389,90.16,-3.1264
172,goal_02,exito,389,90.2,-3.1211
173,goal_02,exito,389,90.19,-3.1222
174,goal_02,exito,389,90.18,-3.1234
175,goal_02,exito,389,90.16,-3.1264
176,goal_02,exito,389,90.2,-3.1203
177,goal_02,exito,389,90.21,-3.1214
178,goal_02,exito,389,90.16,-3.125
179,goal_02,exito,389,90.18,-3.1224
180,goal_02,exito,389,90.21,-3.1196
181,goal_02,exito,389,90.17,-3.1259
182,goal_02,exito,389,90.17,-3.1242
