episodio,resultado,pasos,reward
266,exito,1297,252.29
267,exito,1297,252.35
268,exito,1292,253.07
269,exito,1292,253.0
270,exito,1307,252.37
271,exito,1308,249.99
272,exito,1308,254.38
273,exito,1294,255.25
274,exito,1314,251.65
275,exito,1306,254.55
276,exito,1294,251.7
277,exito,1322,252.9
278,exito,1302,252.39
279,exito,1319,252.99
280,exito,1294,254.74
281,exito,1311,251.48
282,exito,1302,254.76
283,exito,1302,250.3
284,exito,1303,250.9
285,exito,1311,251.41
286,exito,1301,254.57
287,exito,1314,253.68
288,exito,1315,253.69
289,exito,1322,253.37
290,exito,1317,253.58
291,exito,1299,253.57
292,exito,1300,254.79
293,exito,1306,252.53
294,exito,1305,252.83
295,exito,1311,251.42
296,exito,1301,253.33
297,exito,1297,252.23
298,exito,1295,251.94
299,exito,1313,251.35
300,exito,1302,250.64

RESUMEN_GLOBAL,,,
n_total,300,,
exito_%,100.0,,
colision_%,0.0,,
truncado_%,0.0,,
pasos_medio,1304.8,,
reward_medio,253.1,,
