episodio,resultado,pasos,reward
1,colision,2205,-159.58
2,colision,1179,-133.67
3,colision,1221,-134.97
4,colision,1555,-142.01
5,colision,998,-138.01
6,colision,1359,-139.41
7,colision,941,-130.69
8,colision,1116,-128.44
9,colision,1039,-127.55
10,colision,1024,-138.97
11,colision,1537,-141.44
12,colision,1300,-137.47
13,truncado,3000,-44.16
14,colision,1541,-143.94
15,colision,1286,-136.05
16,colision,1093,-135.1
17,colision,1562,-145.55
18,colision,1578,-142.17
19,colision,1101,-131.05
20,colision,1213,-134.19
21,colision,1985,-159.65
22,colision,1676,-146.02
23,colision,1177,-131.87
24,colision,1561,-138.33
25,colision,1159,-141.27
26,colision,1548,-144.05
27,colision,1274,-137.77
28,colision,1385,-142.72
29,colision,1846,-144.21
30,colision,1596,-145.48
31,colision,1540,-146.87
32,colision,1199,-146.82
33,colision,1810,-149.78
34,colision,1101,-129.28
35,colision,1229,-138.63
36,colision,1281,-137.3
37,colision,1157,-134.76
38,colision,1955,-151.51
39,colision,1109,-136.07
40,colision,1653,-160.76
41,colision,1236,-138.22
42,colision,1409,-148.87
43,colision,1482,-156.34
44,colision,1058,-134.59
45,colision,1267,-136.96
46,colision,1297,-141.85
47,colision,1715,-153.57
48,colision,1316,-146.84
49,colision,1491,-145.12
50,colision,1040,-129.82
51,colision,1253,-134.32
52,colision,1177,-134.5
53,colision,1165,-132.03
54,colision,2193,-160.87
55,colision,989,-139.99
56,colision,1441,-147.27
57,colision,1185,-136.3
58,colision,1222,-141.23
59,colision,1537,-145.14
60,colision,1184,-139.28
61,colision,1506,-149.74
62,colision,1400,-141.24
63,colision,1249,-136.21
64,colision,1394,-146.93
65,colision,1175,-134.38
66,colision,1477,-145.94
67,colision,1206,-139.68
68,truncado,3000,-71.93
69,colision,2736,-167.65
70,colision,1040,-142.64
71,colision,1244,-138.16
72,colision,2187,-167.28
73,colision,1110,-137.06
74,colision,1236,-137.4
75,colision,1017,-129.26
76,colision,1634,-150.8
77,colision,2676,-178.27
78,colision,1343,-137.23
79,colision,2092,-161.62
80,colision,1077,-138.1
81,colision,1126,-135.02
82,colision,1962,-161.59
83,colision,1068,-136.69
84,colision,1314,-139.86
85,colision,1830,-151.22
86,colision,1577,-141.52
87,colision,970,-134.67
88,colision,1442,-142.1
89,colision,998,-134.43
90,colision,2233,-164.76
91,colision,1261,-138.67
92,colision,1077,-145.02
93,colision,2173,-166.86
94,colision,1461,-141.47
95,colision,1419,-152.81
96,colision,1065,-137.11
97,colision,1170,-135.93
98,colision,1054,-133.18
99,colision,1107,-145.15
100,colision,1403,-142.1
101,colision,1004,-130.72
102,colision,1997,-165.2
103,colision,1207,-133.88
104,colision,1211,-140.12
105,colision,1678,-151.5
106,colision,1181,-139.64
107,colision,1603,-150.1
108,colision,944,-135.56
109,colision,1411,-139.96
110,colision,1214,-135.74
111,colision,1136,-135.61
112,colision,1121,-144.96
