episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
1606,goal_17,ciclo_completo,exito,1914,400.04,True
1607,goal_17,ciclo_completo,exito,1914,400.04,True
1608,goal_17,ciclo_completo,exito,1914,400.05,True
1609,goal_17,ciclo_completo,exito,1914,400.04,True
1610,goal_17,ciclo_completo,exito,1914,400.05,True
1611,goal_17,ciclo_completo,exito,1914,400.04,True
1612,goal_17,ciclo_completo,exito,1914,400.04,True
1613,goal_17,ciclo_completo,exito,1915,400.13,True
1614,goal_17,ciclo_completo,exito,1914,400.04,True
1615,goal_17,ciclo_completo,exito,1914,400.04,True
1616,goal_17,ciclo_completo,exito,1914,400.04,True
1617,goal_17,ciclo_completo,exito,1915,400.13,True
1618,goal_17,ciclo_completo,exito,1914,400.04,True
1619,goal_17,ciclo_completo,exito,1914,400.05,True
1620,goal_17,ciclo_completo,exito,1914,400.04,True
1621,goal_17,ciclo_completo,exito,1914,400.04,True
1622,goal_17,ciclo_completo,exito,1915,400.12,True
1623,goal_17,ciclo_completo,exito,1915,400.13,True
1624,goal_17,ciclo_completo,exito,1915,400.12,True
1625,goal_17,ciclo_completo,exito,1915,400.13,True
1626,goal_17,ciclo_completo,exito,1915,400.13,True
1627,goal_17,ciclo_completo,exito,1915,400.13,True
1628,goal_17,ciclo_completo,exito,1914,400.04,True
1629,goal_17,ciclo_completo,exito,1915,400.13,True
1630,goal_17,ciclo_completo,exito,1914,400.04,True
1631,goal_17,ciclo_completo,exito,1914,400.05,True
1632,goal_17,ciclo_completo,exito,1914,400.04,True
1633,goal_17,ciclo_completo,exito,1914,400.04,True
1634,goal_17,ciclo_completo,exito,1914,400.04,True
1635,goal_17,ciclo_completo,exito,1914,400.05,True
1636,goal_17,ciclo_completo,exito,1915,400.13,True
1637,goal_17,ciclo_completo,exito,1914,400.04,True
1638,goal_17,ciclo_completo,exito,1915,400.12,True
1639,goal_17,ciclo_completo,exito,1915,400.13,True
1640,goal_17,ciclo_completo,exito,1915,400.12,True
1641,goal_17,ciclo_completo,exito,1915,400.13,True
1642,goal_17,ciclo_completo,exito,1915,400.12,True
1643,goal_17,ciclo_completo,exito,1915,400.13,True
1644,goal_17,ciclo_completo,exito,1914,400.04,True
1645,goal_17,ciclo_completo,exito,1914,400.04,True
1646,goal_17,ciclo_completo,exito,1914,400.04,True
1647,goal_17,ciclo_completo,exito,1915,400.13,True
1648,goal_17,ciclo_completo,exito,1914,400.04,True
1649,goal_17,ciclo_completo,exito,1914,400.05,True
1650,goal_17,ciclo_completo,exito,1914,400.04,True
