episodio,resultado,pasos,reward
290,exito,534,148.65
291,exito,533,148.94
292,exito,532,149.55
293,exito,661,137.91
294,exito,661,139.5
295,exito,531,148.39
296,exito,661,140.89
297,exito,660,138.99
298,exito,534,149.06
299,exito,659,139.49
300,exito,661,140.69
