goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,33,5,28,18,15.2,54.5
goal_02,False,25,6,19,12,24.0,48.0
goal_03,False,28,5,23,18,17.9,64.3
goal_04,False,21,3,18,12,14.3,57.1
goal_05,True,29,5,24,18,17.2,62.1
goal_06,False,29,3,26,15,10.3,51.7
goal_07,False,29,2,27,16,6.9,55.2
goal_08,False,38,2,36,27,5.3,71.1
goal_09,True,20,5,15,9,25.0,45.0
goal_10,True,24,6,18,11,25.0,45.8
goal_11,False,27,3,24,13,11.1,48.1
goal_12,False,26,2,24,14,7.7,53.8
goal_13,True,40,3,37,25,7.5,62.5
goal_14,False,26,2,24,20,7.7,76.9
goal_15,False,31,5,26,17,16.1,54.8
goal_16,False,23,1,22,14,4.3,60.9
goal_17,True,19,4,15,12,21.1,63.2
goal_18,True,21,0,21,19,0.0,90.5
goal_19,True,19,0,19,14,0.0,73.7
goal_20,False,28,3,25,14,10.7,50.0
goal_21,False,24,3,21,16,12.5,66.7
goal_22,False,28,7,21,11,25.0,39.3
goal_23,True,29,3,26,14,10.3,48.3
goal_24,True,19,4,15,11,21.1,57.9
goal_25,True,22,1,21,17,4.5,77.3
goal_26,False,29,4,25,17,13.8,58.6
goal_27,False,26,5,21,15,19.2,57.7
goal_28,False,22,6,16,12,27.3,54.5
