goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,43,31,12,10,72.1,23.3
goal_02,False,47,32,15,14,68.1,29.8
goal_03,False,46,32,14,9,69.6,19.6
goal_04,False,43,31,12,9,72.1,20.9
goal_05,True,51,34,17,12,66.7,23.5
goal_06,False,49,32,17,12,65.3,24.5
goal_07,False,45,33,12,8,73.3,17.8
goal_08,False,48,36,12,10,75.0,20.8
goal_09,True,41,22,19,13,53.7,31.7
goal_10,True,37,28,9,7,75.7,18.9
goal_11,False,49,37,12,9,75.5,18.4
goal_12,False,31,27,4,2,87.1,6.5
goal_13,True,48,38,10,8,79.2,16.7
goal_14,False,127,91,36,31,71.7,24.4
goal_15,False,122,82,40,34,67.2,27.9
goal_16,False,137,98,39,26,71.5,19.0
goal_17,True,46,35,11,10,76.1,21.7
goal_18,True,47,39,8,5,83.0,10.6
goal_19,True,42,31,11,9,73.8,21.4
goal_20,False,52,42,10,7,80.8,13.5
goal_21,False,42,32,10,9,76.2,21.4
goal_22,False,44,30,14,9,68.2,20.5
goal_23,True,124,92,32,26,74.2,21.0
goal_24,True,121,79,42,34,65.3,28.1
goal_25,True,128,101,27,23,78.9,18.0
goal_26,False,119,87,32,25,73.1,21.0
goal_27,False,114,77,37,25,67.5,21.9
goal_28,False,133,106,27,24,79.7,18.0
