goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,66,43,23,18,65.2,27.3
goal_02,False,64,41,23,17,64.1,26.6
goal_03,False,65,48,17,12,73.8,18.5
goal_04,False,58,34,24,17,58.6,29.3
goal_05,True,71,44,27,20,62.0,28.2
goal_06,False,74,48,26,23,64.9,31.1
goal_07,False,76,46,30,22,60.5,28.9
goal_08,False,71,50,21,13,70.4,18.3
goal_09,True,64,52,12,10,81.2,15.6
goal_10,True,60,37,23,18,61.7,30.0
goal_11,False,65,41,24,21,63.1,32.3
goal_12,False,66,46,20,16,69.7,24.2
goal_13,True,63,41,21,16,65.1,25.4
goal_14,False,220,146,74,55,66.4,25.0
goal_15,False,174,113,61,46,64.9,26.4
goal_16,False,210,135,75,59,64.3,28.1
goal_17,True,53,30,23,17,56.6,32.1
goal_18,True,74,52,22,19,70.3,25.7
goal_19,True,57,33,24,16,57.9,28.1
goal_20,False,69,46,23,21,66.7,30.4
goal_21,False,57,38,19,16,66.7,28.1
goal_22,False,67,46,21,12,68.7,17.9
goal_23,True,195,125,70,46,64.1,23.6
goal_24,True,187,126,61,48,67.4,25.7
goal_25,True,202,136,66,51,67.3,25.2
goal_26,False,196,126,70,53,64.3,27.0
goal_27,False,189,118,71,52,62.4,27.5
goal_28,False,203,140,63,48,69.0,23.6
