goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,44,12,32,16,27.3,36.4
goal_02,False,58,17,41,21,29.3,36.2
goal_03,False,51,6,45,26,11.8,51.0
goal_04,False,44,14,30,15,31.8,34.1
goal_05,True,57,20,37,14,35.1,24.6
goal_06,False,58,11,46,22,19.0,37.9
goal_07,False,60,16,44,23,26.7,38.3
goal_08,False,56,10,46,26,17.9,46.4
goal_09,True,53,11,42,19,20.8,35.8
goal_10,True,56,13,43,23,23.2,41.1
goal_11,False,57,14,43,21,24.6,36.8
goal_12,False,57,14,43,25,24.6,43.9
goal_13,True,47,9,38,10,19.1,21.3
goal_14,False,60,13,47,24,21.7,40.0
goal_15,False,60,18,42,25,30.0,41.7
goal_16,False,52,13,39,22,25.0,42.3
goal_17,True,61,16,45,19,26.2,31.1
goal_18,True,59,19,40,26,32.2,44.1
goal_19,True,53,10,43,23,18.9,43.4
goal_20,False,46,11,35,20,23.9,43.5
goal_21,False,68,17,51,25,25.0,36.8
goal_22,False,56,15,41,25,26.8,44.6
goal_23,True,56,8,48,21,14.3,37.5
goal_24,True,44,12,32,14,27.3,31.8
goal_25,True,53,14,39,16,26.4,30.2
goal_26,False,53,13,40,19,24.5,35.8
goal_27,False,53,8,45,24,15.1,45.3
goal_28,False,53,15,38,22,28.3,41.5
