goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,120,45,75,120,37.5,100.0
goal_02,False,134,60,74,134,44.8,100.0
goal_03,False,124,42,82,124,33.9,100.0
goal_04,False,128,38,90,128,29.7,100.0
goal_05,True,928,337,591,928,36.3,100.0
goal_06,False,116,31,85,116,26.7,100.0
goal_07,False,154,54,100,154,35.1,100.0
goal_08,False,132,44,88,132,33.3,100.0
goal_09,True,893,299,594,893,33.5,100.0
goal_10,True,949,333,616,949,35.1,100.0
goal_11,False,120,38,82,120,31.7,100.0
goal_12,False,121,47,74,121,38.8,100.0
goal_13,True,844,302,542,844,35.8,100.0
goal_14,False,117,41,76,117,35.0,100.0
goal_15,False,133,40,93,133,30.1,100.0
goal_16,False,121,44,77,121,36.4,100.0
goal_17,True,933,330,603,933,35.4,100.0
goal_18,True,884,341,543,884,38.6,100.0
goal_19,True,913,317,596,913,34.7,100.0
goal_20,False,115,48,67,115,41.7,100.0
goal_21,False,130,38,92,130,29.2,100.0
goal_22,False,107,29,78,107,27.1,100.0
goal_23,True,933,309,624,933,33.1,100.0
goal_24,True,917,316,601,917,34.5,100.0
goal_25,True,932,327,605,932,35.1,100.0
goal_26,False,96,38,58,96,39.6,100.0
goal_27,False,129,44,85,129,34.1,100.0
goal_28,False,128,52,76,128,40.6,100.0
