goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,71,45,26,20,63.4,28.2
goal_02,False,72,46,26,23,63.9,31.9
goal_03,False,61,39,22,19,63.9,31.1
goal_04,False,68,47,21,14,69.1,20.6
goal_05,True,77,45,32,21,58.4,27.3
goal_06,False,68,46,22,19,67.6,27.9
goal_07,False,72,48,24,19,66.7,26.4
goal_08,False,71,50,21,18,70.4,25.4
goal_09,True,55,35,20,14,63.6,25.5
goal_10,True,58,40,18,17,69.0,29.3
goal_11,False,69,52,17,13,75.4,18.8
goal_12,False,57,44,13,12,77.2,21.1
goal_13,True,78,63,15,10,80.8,12.8
goal_14,False,195,132,63,54,67.7,27.7
goal_15,False,187,119,68,59,63.6,31.6
goal_16,False,212,130,82,64,61.3,30.2
goal_17,True,65,40,25,19,61.5,29.2
goal_18,True,77,56,21,13,72.7,16.9
goal_19,True,61,45,16,13,73.8,21.3
goal_20,False,84,58,26,21,69.0,25.0
goal_21,False,74,52,22,17,70.3,23.0
goal_22,False,68,39,29,24,57.4,35.3
goal_23,True,187,128,59,46,68.4,24.6
goal_24,True,189,116,73,57,61.4,30.2
goal_25,True,185,128,57,41,69.2,22.2
goal_26,False,181,111,70,53,61.3,29.3
goal_27,False,169,112,57,47,66.3,27.8
goal_28,False,196,132,64,51,67.3,26.0
