arquitectura,configuracion,semilla,exito,colision,truncado,recompensa,longitud
STH-WP,E2.1,42,78.93792114257812,21.062079620361327,0.0,420.263037109375,2211.498095703125
STH-WP,E2.1,123,78.42927703857421,21.57072334289551,0.0,413.65187377929686,2138.818017578125
STH-WP,E2.1,524,58.90593948364258,41.09406051635742,0.0,365.6916442871094,2086.250048828125
STH-WP,E2.2,42,67.10570068359375,32.894300079345705,0.0,348.79405517578124,2083.135986328125
STH-WP,E2.2,123,66.41810150146485,33.58189849853515,0.0,391.63572998046874,2023.6659912109376
STH-WP,E2.2,524,53.20081100463867,46.79918899536133,0.0,253.793701171875,1993.3040283203125
STH-WP,E2.2b,42,65.65568084716797,34.311135864257814,0.03318291753530502,322.3737854003906,1928.4659912109375
STH-WP,E2.2b,123,67.25283508300781,32.74716339111328,0.0,348.52980346679686,1995.426025390625
STH-WP,E2.2b,524,60.434496307373045,39.565503692626955,0.0,308.67640991210936,2033.8299560546875
