arquitectura,configuracion,semilla,exito,colision,truncado,recompensa,longitud
SUB-WP,E2.1,42,73.64942321777343,26.35057716369629,0.0,421.93552856445314,2814.8759765625
SUB-WP,E2.1,123,74.82081909179688,25.179180145263672,0.0,448.6550354003906,2797.06396484375
SUB-WP,E2.1,524,74.44073181152343,25.559268951416016,0.0,450.9282653808594,2884.95
SUB-WP,E2.2,42,63.5492660522461,35.62146987915039,0.8292646169662475,439.10285034179685,2968.10400390625
SUB-WP,E2.2,123,68.9894027709961,31.010597229003906,0.0,396.9389221191406,2723.530029296875
SUB-WP,E2.2,524,71.36138458251953,28.63861427307129,0.0,425.0501647949219,2705.938037109375
SUB-WP,E2.2b,42,66.66974029541015,33.1918830871582,0.13837644457817078,431.1481689453125,2880.353955078125
SUB-WP,E2.2b,123,69.27929077148437,30.67503433227539,0.045674658566713336,301.6978454589844,2452.433935546875
SUB-WP,E2.2b,524,69.98182067871093,30.01817741394043,0.0,410.47236328125,2750.322021484375
