fase,exito_medio_%,exito_std_%,n_semillas_con_dato
Fase 1,97.84130249023438,1.1347377226445183,3
Fase 2,98.30858052571614,0.5779968646421789,3
Fase 3 r2,89.34494832356772,2.2396440728193725,3
Fase 4 r2,53.64889551798503,3.720447763891954,3
Fase 5 r2,94.49534810384114,6.273633178686454,3
E2.0,73.64634348551432,6.517762903660254,3
E2.1,74.30365804036458,0.5976068837242137,3
E2.2,67.96668446858725,4.0052170387286115,3
E2.2b,68.64361724853515,1.7451446178456,3
