fase,timesteps_previstos_fase,timesteps_acumulados_previstos
stage1,500000,500000
stage2,4000000,4500000
stage3v2,4000000,8500000
stage4v2,4000000,12500000
stage6,1000000,13500000
sthwp_e2_1,6000000,19500000
