figura,archivo
Diagrama de cadena de entrenamiento (STH-WP y SUB-WP),"Seccion 4 y 8 (diagramas en Markdown, sin PNG dedicado)"
Evolucion curricular resumida -- STH-WP,sth_wp_evolucion_curricular_resumida.png
Evolucion curricular resumida -- SUB-WP,sub_wp_evolucion_curricular_resumida.png
Comparacion entre arquitecturas en fases equivalentes,comparacion_arquitecturas_sthwp_subwp.png
Comparacion E2.1/E2.2/E2.2b -- STH-WP,sth_wp_comparacion_e21_e22_e22b.png
Comparacion E2.1/E2.2/E2.2b -- SUB-WP,sub_wp_comparacion_e21_e22_e22b.png
Metricas funcionales de E2.1 -- STH-WP,sth_wp_e2_1_funcionales.png
Metricas funcionales de E2.1 -- SUB-WP,sub_wp_e2_1_funcionales.png
"Diagnostico del intento fallido de E2.0 (s123, SUB-WP)",sub_wp_e2_0_intento_fallido_s123_diagnostico.png
