episodio,goal_id,resultado,pasos_ap_ex,pasos_retorno,pasos_total,reward_ap_ex,reward_retorno,reward_total,llego_estanteria,llego_descarga
1,goal_01,exito,957,425,1382,276.36,144.2,420.56,1,1
2,goal_01,exito,959,407,1366,276.44,149.36,425.8,1,1
3,goal_01,exito,959,422,1381,276.44,144.39,420.83,1,1
4,goal_01,exito,957,423,1380,276.34,144.26,420.6,1,1
5,goal_01,exito,957,404,1361,276.33,149.53,425.87,1,1
6,goal_01,exito,957,406,1363,276.34,149.32,425.65,1,1
7,goal_01,exito,959,404,1363,276.44,149.35,425.79,1,1
8,goal_01,exito,957,438,1395,276.34,143.33,419.66,1,1
9,goal_01,exito,959,405,1364,276.44,149.31,425.76,1,1
10,goal_01,exito,957,419,1376,276.34,144.65,420.99,1,1
11,goal_01,exito,957,440,1397,276.34,143.3,419.64,1,1
12,goal_01,exito,959,406,1365,276.44,149.31,425.75,1,1
13,goal_01,exito,959,418,1377,276.44,144.86,421.31,1,1
14,goal_01,exito,959,442,1401,276.45,143.09,419.53,1,1
15,goal_01,exito,957,404,1361,276.38,149.37,425.74,1,1
16,goal_01,exito,957,443,1400,276.37,143.04,419.42,1,1
17,goal_01,exito,957,405,1362,276.34,149.48,425.82,1,1
18,goal_01,exito,957,406,1363,276.38,149.31,425.69,1,1
19,goal_01,exito,959,429,1388,276.44,143.78,420.23,1,1
20,goal_01,exito,957,404,1361,276.35,149.48,425.83,1,1
21,goal_01,exito,957,441,1398,276.34,143.12,419.46,1,1
22,goal_01,exito,957,405,1362,276.35,149.24,425.59,1,1
23,goal_01,exito,957,435,1392,276.32,143.49,419.81,1,1
24,goal_01,exito,957,404,1361,276.35,149.42,425.77,1,1
25,goal_01,exito,957,423,1380,276.34,144.36,420.7,1,1
26,goal_01,exito,957,438,1395,276.38,143.29,419.67,1,1
27,goal_01,exito,957,441,1398,276.36,143.23,419.59,1,1
28,goal_01,exito,957,442,1399,276.35,143.06,419.42,1,1
29,goal_01,exito,957,404,1361,276.34,149.53,425.87,1,1
