episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
1,goal_01,exit,exito,888,207.5,True
2,goal_01,exit,exito,887,207.74,True
3,goal_01,exit,exito,886,207.88,True
4,goal_01,exit,exito,886,207.93,True
5,goal_01,exit,colision,1,-150.0,True
6,goal_01,exit,exito,884,208.96,True
7,goal_01,exit,exito,887,208.36,True
8,goal_01,exit,colision,1,-150.0,True
9,goal_01,exit,exito,887,207.3,True
10,goal_01,exit,exito,888,207.82,True
11,goal_01,exit,exito,870,209.42,True
12,goal_01,exit,exito,886,207.89,True
13,goal_01,exit,exito,872,210.14,True
14,goal_01,exit,exito,884,209.25,True
15,goal_01,exit,exito,885,208.65,True
16,goal_01,exit,exito,887,207.96,True
17,goal_01,exit,exito,871,209.8,True
18,goal_01,exit,exito,871,209.61,True
19,goal_01,exit,exito,884,209.12,True
20,goal_01,exit,exito,872,208.22,True
21,goal_01,exit,exito,885,209.12,True
22,goal_01,exit,exito,874,209.82,True
23,goal_01,exit,exito,870,208.11,True
24,goal_01,exit,exito,887,207.61,True
25,goal_01,exit,exito,887,208.21,True
26,goal_01,exit,colision,1,-150.0,True
27,goal_01,exit,exito,887,207.34,True
28,goal_01,exit,exito,887,207.65,True
29,goal_01,exit,exito,875,210.1,True
30,goal_01,exit,exito,877,210.41,True
31,goal_01,exit,colision,1,-150.0,True
32,goal_01,exit,exito,887,206.59,True
33,goal_01,exit,colision,1,-150.0,True
34,goal_01,exit,exito,890,205.94,True
35,goal_01,exit,exito,878,210.43,True
36,goal_01,exit,exito,872,208.22,True
37,goal_01,exit,colision,1,-150.0,True
38,goal_01,exit,colision,1,-150.0,True
39,goal_01,exit,exito,886,207.45,True
40,goal_01,exit,exito,887,207.91,True
41,goal_01,exit,exito,884,208.91,True
42,goal_01,exit,exito,884,209.52,True
43,goal_01,exit,exito,884,207.42,True
44,goal_01,exit,exito,873,209.17,True
45,goal_01,exit,exito,877,209.52,True
46,goal_01,exit,exito,873,209.17,True
47,goal_01,exit,exito,876,210.0,True
48,goal_01,exit,colision,1,-150.0,True
49,goal_01,exit,exito,884,208.52,True
50,goal_01,exit,colision,1,-150.0,True
51,goal_01,exit,exito,885,208.15,True
52,goal_01,exit,exito,888,208.32,True
53,goal_01,exit,exito,872,210.1,True
54,goal_01,exit,exito,886,208.13,True
55,goal_01,exit,exito,886,207.29,True
56,goal_01,exit,exito,884,209.48,True
57,goal_01,exit,exito,885,208.06,True
58,goal_01,exit,exito,886,207.42,True
59,goal_01,exit,exito,871,208.87,True
60,goal_01,exit,exito,887,207.21,True
61,goal_01,exit,exito,884,208.34,True
62,goal_01,exit,exito,886,207.31,True
63,goal_01,exit,exito,889,207.91,True
64,goal_01,exit,exito,886,207.61,True
65,goal_01,exit,exito,888,207.54,True
66,goal_01,exit,exito,884,209.09,True
67,goal_01,exit,exito,884,208.25,True
68,goal_01,exit,exito,871,208.76,True
69,goal_01,exit,exito,884,209.51,True
70,goal_01,exit,colision,1,-150.0,True
71,goal_01,exit,exito,888,207.16,True
72,goal_01,exit,exito,877,210.36,True
73,goal_01,exit,colision,1,-150.0,True
74,goal_01,exit,exito,887,206.42,True
75,goal_01,exit,exito,871,208.8,True
76,goal_01,exit,exito,877,210.14,True
77,goal_01,exit,exito,886,207.43,True
78,goal_01,exit,exito,877,210.36,True
79,goal_01,exit,exito,885,208.32,True
80,goal_01,exit,exito,878,210.43,True
81,goal_01,exit,colision,1,-150.0,True
82,goal_01,exit,exito,888,207.14,True
83,goal_01,exit,exito,887,208.26,True
84,goal_01,exit,exito,885,207.94,True
85,goal_01,exit,colision,1,-150.0,True
86,goal_01,exit,exito,869,208.19,True
87,goal_01,exit,exito,871,209.65,True
88,goal_01,exit,exito,887,207.98,True
89,goal_01,exit,exito,871,209.59,True
90,goal_01,exit,exito,887,208.16,True
91,goal_01,exit,exito,886,207.25,True
92,goal_01,exit,exito,884,208.93,True
93,goal_01,exit,exito,888,208.31,True
94,goal_01,exit,exito,884,209.08,True
95,goal_01,exit,exito,871,209.77,True
96,goal_01,exit,exito,874,209.8,True
97,goal_01,exit,exito,884,209.21,True
98,goal_01,exit,exito,872,210.14,True
99,goal_01,exit,exito,871,208.8,True
100,goal_01,exit,exito,885,208.32,True
101,goal_02,exit,exito,993,227.99,True
102,goal_02,exit,exito,1005,227.72,True
103,goal_02,exit,exito,993,228.15,True
104,goal_02,exit,exito,997,226.75,True
105,goal_02,exit,exito,998,227.12,True
106,goal_02,exit,exito,992,228.04,True
107,goal_02,exit,exito,993,226.97,True
108,goal_02,exit,exito,1009,226.52,True
109,goal_02,exit,exito,999,228.49,True
110,goal_02,exit,exito,993,228.14,True
111,goal_02,exit,exito,999,228.49,True
112,goal_02,exit,exito,992,227.47,True
113,goal_02,exit,exito,1011,226.02,True
114,goal_02,exit,exito,1005,227.71,True
115,goal_02,exit,exito,999,228.48,True
116,goal_02,exit,exito,999,228.48,True
117,goal_02,exit,exito,1008,225.98,True
118,goal_02,exit,exito,1008,224.92,True
119,goal_02,exit,exito,992,227.4,True
120,goal_02,exit,exito,999,228.06,True
121,goal_02,exit,exito,998,227.22,True
122,goal_02,exit,exito,997,228.22,True
123,goal_02,exit,exito,994,228.19,True
124,goal_02,exit,exito,1009,225.99,True
125,goal_02,exit,exito,1006,227.31,True
126,goal_02,exit,exito,1009,225.43,True
127,goal_02,exit,exito,994,228.3,True
128,goal_02,exit,exito,1010,225.7,True
129,goal_02,exit,exito,1004,226.95,True
130,goal_02,exit,exito,992,227.31,True
131,goal_02,exit,exito,994,228.27,True
132,goal_02,exit,exito,1005,227.74,True
133,goal_02,exit,exito,998,228.04,True
134,goal_02,exit,exito,1005,227.72,True
135,goal_02,exit,exito,993,228.21,True
136,goal_02,exit,exito,1009,225.87,True
137,goal_02,exit,exito,994,228.29,True
138,goal_02,exit,exito,999,228.51,True
139,goal_02,exit,exito,994,228.24,True
140,goal_02,exit,exito,992,227.43,True
141,goal_02,exit,exito,998,228.11,True
142,goal_02,exit,exito,1006,227.67,True
143,goal_02,exit,exito,1010,226.36,True
144,goal_02,exit,colision,1,-150.0,True
145,goal_02,exit,exito,1006,226.55,True
146,goal_02,exit,exito,1000,228.08,True
147,goal_02,exit,exito,1007,226.2,True
148,goal_02,exit,exito,1004,226.93,True
149,goal_02,exit,exito,1006,225.57,True
150,goal_02,exit,exito,1006,225.55,True
151,goal_02,exit,exito,1007,226.77,True
152,goal_02,exit,exito,994,228.31,True
153,goal_02,exit,exito,1006,226.5,True
154,goal_02,exit,exito,1009,226.26,True
155,goal_02,exit,exito,1009,226.46,True
156,goal_02,exit,exito,994,226.35,True
157,goal_02,exit,exito,994,228.27,True
158,goal_02,exit,exito,1011,226.01,True
159,goal_02,exit,exito,1006,227.25,True
160,goal_02,exit,exito,998,228.02,True
161,goal_02,exit,exito,1006,227.38,True
162,goal_02,exit,exito,999,228.06,True
163,goal_02,exit,exito,993,227.86,True
164,goal_02,exit,exito,994,228.22,True
165,goal_02,exit,exito,1008,225.45,True
166,goal_02,exit,exito,996,227.94,True
167,goal_02,exit,exito,994,228.29,True
168,goal_02,exit,colision,1,-150.0,True
169,goal_02,exit,exito,1010,225.49,True
170,goal_02,exit,exito,1009,226.44,True
171,goal_02,exit,colision,1,-150.0,True
172,goal_02,exit,exito,999,227.97,True
173,goal_02,exit,exito,1006,226.32,True
174,goal_02,exit,exito,1006,227.54,True
175,goal_02,exit,exito,994,228.28,True
176,goal_02,exit,exito,1006,227.13,True
177,goal_02,exit,exito,1007,226.37,True
178,goal_02,exit,exito,1005,227.73,True
179,goal_02,exit,exito,1008,225.78,True
180,goal_02,exit,exito,993,226.89,True
181,goal_02,exit,exito,1009,225.81,True
182,goal_02,exit,exito,998,228.11,True
183,goal_02,exit,exito,999,228.49,True
184,goal_02,exit,exito,1009,225.68,True
185,goal_02,exit,exito,993,226.77,True
186,goal_02,exit,exito,993,226.85,True
187,goal_02,exit,exito,994,228.25,True
188,goal_02,exit,exito,1008,227.46,True
189,goal_02,exit,exito,1006,227.29,True
190,goal_02,exit,exito,1005,227.73,True
191,goal_02,exit,exito,1010,226.46,True
192,goal_02,exit,colision,1,-150.0,True
193,goal_02,exit,exito,999,227.99,True
194,goal_02,exit,exito,999,228.5,True
195,goal_02,exit,exito,1005,227.73,True
196,goal_02,exit,exito,994,228.27,True
197,goal_02,exit,exito,998,227.12,True
198,goal_02,exit,exito,992,228.06,True
199,goal_02,exit,exito,1009,225.4,True
200,goal_02,exit,exito,1006,227.34,True
201,goal_03,exit,exito,1118,242.11,True
202,goal_03,exit,exito,1115,242.09,True
203,goal_03,exit,exito,1103,244.44,True
204,goal_03,exit,exito,1103,244.48,True
205,goal_03,exit,exito,1104,244.72,True
206,goal_03,exit,exito,1109,244.29,True
207,goal_03,exit,exito,1115,242.55,True
208,goal_03,exit,exito,1106,244.47,True
209,goal_03,exit,exito,1108,244.69,True
210,goal_03,exit,exito,1104,244.71,True
