episodio,resultado,pasos,reward
1,exito,460,125.79
2,exito,449,135.42
3,exito,459,125.87
4,exito,461,125.94
5,exito,448,135.31
6,exito,446,135.23
7,exito,462,125.53
8,exito,473,124.85
9,exito,459,126.0
10,exito,472,124.77
11,exito,464,125.64
12,exito,446,135.24
13,exito,466,125.27
14,exito,466,125.47
15,exito,457,126.05
16,exito,467,125.15
17,exito,452,127.05
18,exito,451,135.6
19,exito,449,135.43
20,exito,466,125.22
21,exito,448,135.33
22,exito,465,125.51
23,exito,449,135.44
24,exito,448,135.35
25,exito,454,126.58
26,exito,460,125.85
27,exito,467,125.13
28,exito,472,124.85
29,exito,462,125.8
30,exito,450,135.53
31,exito,452,135.67
32,exito,448,135.35
33,exito,447,135.24
34,exito,468,125.12
35,exito,469,125.06
36,exito,457,125.96
37,exito,454,126.58
38,exito,448,135.34
39,exito,469,125.05
40,exito,462,125.6
41,exito,464,125.63
42,exito,449,135.39
43,exito,458,126.02
44,exito,448,135.34
45,exito,448,135.32
46,exito,467,125.28
47,exito,465,125.48
48,exito,470,124.96
49,exito,462,125.66
50,exito,448,135.36
51,exito,465,125.55
52,exito,466,125.31
53,exito,471,125.09
54,exito,451,135.61
55,exito,465,125.47
56,exito,467,125.13
57,exito,448,135.3
58,exito,450,135.52
59,exito,473,124.82
60,exito,448,135.33
61,exito,448,135.35
62,exito,458,126.03
63,exito,449,135.41
64,exito,471,125.02
65,exito,445,135.13
66,exito,448,135.3
67,exito,455,126.43
68,exito,467,125.09
69,exito,469,125.15
70,exito,472,124.94
71,exito,448,135.3
72,exito,443,128.23
73,exito,469,125.15
74,exito,448,135.31
75,exito,449,127.18
76,exito,448,135.33
77,exito,463,125.69
78,exito,462,125.57
79,exito,456,126.3
80,exito,451,135.57
81,exito,451,135.52
82,exito,472,124.9
83,exito,459,125.95
84,exito,463,125.68
85,exito,451,135.63
86,exito,447,135.29
87,exito,461,125.83
88,exito,454,126.49
89,exito,459,125.88
90,exito,466,125.34
91,exito,468,125.25
92,exito,459,125.83
93,exito,449,135.43
94,exito,449,135.46
95,exito,463,125.7
96,exito,468,125.14
97,exito,473,124.94
98,exito,469,125.05
99,exito,458,126.02
100,exito,470,124.92
101,exito,465,125.49
102,exito,466,125.22
103,exito,466,125.32
104,exito,450,127.24
105,exito,448,135.37
106,exito,450,135.48
107,exito,467,125.21
108,exito,461,125.73
109,exito,449,135.42
110,exito,453,126.82
111,exito,462,125.83
112,exito,447,135.31
113,exito,462,125.82
114,exito,448,135.31
115,exito,450,135.47
116,exito,449,135.42
117,exito,454,126.63
118,exito,451,135.61
119,exito,451,135.6
120,exito,449,135.4
121,exito,462,125.51
122,exito,448,135.33
123,exito,450,135.55
124,exito,448,135.28
125,exito,448,135.27
126,exito,449,135.38
127,exito,468,125.19
128,exito,470,125.15
129,exito,451,135.62
130,exito,468,125.16
131,exito,447,127.62
132,exito,450,135.46
133,exito,454,126.58
134,exito,448,135.35
135,exito,462,125.81
136,exito,449,135.39
137,exito,472,124.91
138,exito,448,135.33
139,exito,448,135.33
140,exito,450,135.51
141,exito,467,125.21
142,exito,461,125.76
143,exito,446,135.24
144,exito,450,135.55
145,exito,469,125.06
146,exito,450,135.53
147,exito,451,135.57
148,exito,445,135.16
149,exito,460,125.85
150,exito,448,135.35
151,exito,447,135.23
152,exito,448,135.27
153,exito,462,125.67
154,exito,457,126.24
155,exito,469,125.1
156,exito,449,135.42
157,exito,462,125.84
158,exito,447,135.3
159,exito,472,124.91
160,exito,473,125.7
161,exito,447,135.25
162,exito,448,135.33
163,exito,468,124.93
164,exito,455,126.32
165,exito,447,135.29
166,exito,448,135.29
167,exito,455,126.49
168,exito,472,124.86
169,exito,468,125.14
170,exito,461,125.83
171,exito,450,135.51
172,exito,447,135.3
173,exito,448,135.35
174,exito,449,135.38
175,exito,461,125.79
176,exito,450,135.52
177,exito,470,125.13
178,exito,463,125.7
179,exito,463,125.69
180,exito,457,126.22
181,exito,449,135.25
182,exito,448,135.32
183,exito,448,135.31
184,exito,449,135.44
185,exito,462,125.56
186,exito,467,125.25
187,exito,450,135.49
188,exito,447,135.31
189,exito,448,135.4
190,exito,468,125.11
191,exito,460,125.98
192,exito,454,126.53
193,exito,466,125.46
194,exito,467,125.26
195,exito,451,135.59
196,exito,471,125.02
197,exito,472,124.95
198,exito,466,125.48
199,exito,447,135.19
200,exito,448,135.27
201,exito,449,135.42
202,exito,456,126.34
203,exito,462,125.81
204,exito,448,135.35
205,exito,472,124.91
206,exito,448,135.28
207,exito,452,126.81
208,exito,468,125.23
209,exito,449,135.42
210,exito,472,124.92
211,exito,466,125.35
212,exito,462,125.81
213,exito,448,135.37
214,exito,451,135.59
215,exito,451,126.94
216,exito,454,126.55
217,exito,471,125.05
218,exito,469,125.06
219,exito,448,135.26
220,exito,463,125.47
221,exito,459,126.01
222,exito,441,128.27
223,exito,466,125.23
224,exito,462,125.82
225,exito,453,126.57
226,exito,448,135.3
227,exito,446,135.16
228,exito,450,135.52
229,exito,459,125.97
230,exito,449,135.38
231,exito,467,125.08
232,exito,456,126.3
233,exito,449,135.43
234,exito,447,135.21
235,exito,463,125.67
236,exito,460,125.87
237,exito,449,135.44
238,exito,449,135.39
239,exito,448,135.36
240,exito,450,135.5
241,exito,472,124.86
242,exito,448,135.3
243,exito,448,135.33
244,exito,460,125.98
245,exito,464,125.53
246,exito,447,135.31
247,exito,459,126.0
248,exito,451,135.56
249,exito,459,126.01
250,exito,460,125.74
251,exito,468,124.93
252,exito,449,135.29
253,exito,448,135.3
254,exito,449,135.45
255,exito,449,135.43
256,exito,471,125.1
257,exito,462,125.8
258,exito,447,135.19
259,exito,470,124.94
260,exito,473,124.94
261,exito,449,135.26
262,exito,459,126.0
263,exito,446,135.22
264,exito,469,125.08
265,exito,468,125.14
266,exito,448,135.26
267,exito,471,125.07
268,exito,450,135.52
269,exito,471,124.99
270,exito,448,135.36
271,exito,449,135.39
272,exito,446,135.18
273,exito,454,126.63
274,exito,449,127.35
275,exito,462,125.63
276,exito,454,126.59
277,exito,451,135.53
278,exito,452,126.87
279,exito,469,125.08
280,exito,450,135.35
281,exito,447,135.19
282,exito,450,135.5
283,exito,451,135.6
284,exito,451,135.57
285,exito,464,125.53
286,exito,470,125.01
287,exito,448,135.28
288,exito,451,135.56
289,exito,468,125.18
290,exito,473,124.84
291,exito,451,135.61
292,exito,449,135.32
293,exito,472,124.92
294,exito,471,125.11
295,exito,472,124.85
296,exito,448,135.32
297,exito,448,135.37
298,exito,456,126.2
299,exito,450,135.51
300,exito,457,126.25

RESUMEN_GLOBAL,,,
n_total,300,,
exito_%,100.0,,
colision_%,0.0,,
truncado_%,0.0,,
pasos_medio,456.9,,
reward_medio,129.9,,
