episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga,n_replans
1,goal_01,truncado,7000,-455.6,1,0,1
2,goal_01,truncado,7000,-455.73,1,0,1
3,goal_01,truncado,7000,-455.74,1,0,1
4,goal_01,truncado,7000,-455.73,1,0,1
5,goal_01,truncado,7000,-455.73,1,0,1
6,goal_01,truncado,7000,-455.73,1,0,1
7,goal_01,truncado,7000,-455.74,1,0,1
8,goal_01,truncado,7000,-455.73,1,0,1
9,goal_01,truncado,7000,-455.73,1,0,1
10,goal_01,truncado,7000,-455.78,1,0,1
11,goal_01,truncado,7000,-455.73,1,0,1
12,goal_01,truncado,7000,-455.74,1,0,1
13,goal_01,truncado,7000,-455.77,1,0,1
14,goal_01,truncado,7000,-455.77,1,0,1
15,goal_01,truncado,7000,-455.73,1,0,1
16,goal_01,truncado,7000,-455.74,1,0,1
17,goal_01,truncado,7000,-455.74,1,0,1
18,goal_01,truncado,7000,-455.8,1,0,1
19,goal_01,truncado,7000,-455.77,1,0,1
20,goal_01,truncado,7000,-455.74,1,0,1
21,goal_01,truncado,7000,-455.75,1,0,1
22,goal_01,truncado,7000,-455.73,1,0,1
23,goal_01,truncado,7000,-455.76,1,0,1
24,goal_01,truncado,7000,-455.73,1,0,1
25,goal_01,truncado,7000,-455.73,1,0,1
26,goal_01,truncado,7000,-455.74,1,0,1
27,goal_01,truncado,7000,-455.74,1,0,1
28,goal_01,truncado,7000,-455.73,1,0,1
29,goal_01,truncado,7000,-455.73,1,0,1
30,goal_01,truncado,7000,-455.73,1,0,1
31,goal_01,truncado,7000,-455.74,1,0,1
32,goal_01,truncado,7000,-455.74,1,0,1
33,goal_01,truncado,7000,-455.72,1,0,1
34,goal_01,truncado,7000,-455.73,1,0,1
35,goal_01,truncado,7000,-455.74,1,0,1
36,goal_01,truncado,7000,-455.74,1,0,1
37,goal_01,truncado,7000,-455.73,1,0,1
38,goal_01,truncado,7000,-455.73,1,0,1
39,goal_01,truncado,7000,-455.73,1,0,1
40,goal_01,truncado,7000,-455.74,1,0,1
41,goal_01,truncado,7000,-455.74,1,0,1
42,goal_01,truncado,7000,-455.73,1,0,1
43,goal_01,truncado,7000,-455.73,1,0,1
44,goal_01,truncado,7000,-455.74,1,0,1
45,goal_01,truncado,7000,-455.74,1,0,1
46,goal_01,truncado,7000,-455.73,1,0,1
47,goal_01,truncado,7000,-455.73,1,0,1
48,goal_01,truncado,7000,-455.72,1,0,1
49,goal_01,truncado,7000,-455.73,1,0,1
50,goal_01,truncado,7000,-455.74,1,0,1
51,goal_01,truncado,7000,-455.73,1,0,1
52,goal_01,truncado,7000,-455.73,1,0,1
53,goal_01,truncado,7000,-455.73,1,0,1
54,goal_01,truncado,7000,-455.74,1,0,1
55,goal_01,truncado,7000,-455.74,1,0,1
56,goal_01,truncado,7000,-455.72,1,0,1
57,goal_01,truncado,7000,-455.73,1,0,1
58,goal_01,truncado,7000,-455.73,1,0,1
59,goal_01,truncado,7000,-455.74,1,0,1
60,goal_01,truncado,7000,-455.73,1,0,1
61,goal_01,truncado,7000,-455.73,1,0,1
62,goal_01,truncado,7000,-455.73,1,0,1
63,goal_01,truncado,7000,-455.74,1,0,1
64,goal_01,truncado,7000,-455.74,1,0,1
65,goal_01,truncado,7000,-455.72,1,0,1
66,goal_01,truncado,7000,-455.76,1,0,1
67,goal_01,truncado,7000,-455.73,1,0,1
68,goal_01,truncado,7000,-455.74,1,0,1
69,goal_01,truncado,7000,-455.74,1,0,1
70,goal_01,truncado,7000,-455.72,1,0,1
71,goal_01,truncado,7000,-455.73,1,0,1
72,goal_01,truncado,7000,-455.74,1,0,1
73,goal_01,truncado,7000,-455.74,1,0,1
74,goal_01,truncado,7000,-455.81,1,0,1
75,goal_01,truncado,7000,-455.8,1,0,1
76,goal_01,truncado,7000,-455.73,1,0,1
77,goal_01,truncado,7000,-455.74,1,0,1
78,goal_01,truncado,7000,-455.73,1,0,1
79,goal_01,truncado,7000,-455.8,1,0,1
80,goal_01,truncado,7000,-455.73,1,0,1
81,goal_01,truncado,7000,-455.74,1,0,1
82,goal_01,truncado,7000,-455.75,1,0,1
83,goal_01,truncado,7000,-455.8,1,0,1
84,goal_01,truncado,7000,-455.73,1,0,1
85,goal_01,truncado,7000,-455.74,1,0,1
86,goal_01,truncado,7000,-455.74,1,0,1
87,goal_01,truncado,7000,-455.74,1,0,1
88,goal_01,truncado,7000,-455.76,1,0,1
89,goal_01,truncado,7000,-455.73,1,0,1
90,goal_01,truncado,7000,-455.73,1,0,1
91,goal_01,truncado,7000,-455.73,1,0,1
92,goal_01,truncado,7000,-455.75,1,0,1
93,goal_01,truncado,7000,-455.74,1,0,1
94,goal_01,truncado,7000,-455.73,1,0,1
95,goal_01,truncado,7000,-455.73,1,0,1
96,goal_01,truncado,7000,-455.73,1,0,1
97,goal_01,truncado,7000,-455.74,1,0,1
98,goal_01,truncado,7000,-455.72,1,0,1
99,goal_01,truncado,7000,-455.73,1,0,1
100,goal_01,truncado,7000,-455.74,1,0,1
101,goal_02,truncado,7000,-398.31,1,0,1
102,goal_02,truncado,7000,-398.3,1,0,1
103,goal_02,truncado,7000,-398.31,1,0,1
104,goal_02,truncado,7000,-398.32,1,0,1
105,goal_02,truncado,7000,-398.31,1,0,1
106,goal_02,truncado,7000,-398.3,1,0,1
107,goal_02,truncado,7000,-398.31,1,0,1
108,goal_02,truncado,7000,-398.3,1,0,1
109,goal_02,truncado,7000,-398.32,1,0,1
110,goal_02,truncado,7000,-398.32,1,0,1
111,goal_02,truncado,7000,-398.31,1,0,1
112,goal_02,truncado,7000,-398.31,1,0,1
113,goal_02,truncado,7000,-398.31,1,0,1
114,goal_02,truncado,7000,-398.32,1,0,1
115,goal_02,truncado,7000,-398.32,1,0,1
116,goal_02,truncado,7000,-398.38,1,0,1
117,goal_02,truncado,7000,-398.31,1,0,1
118,goal_02,truncado,7000,-398.32,1,0,1
119,goal_02,truncado,7000,-398.31,1,0,1
120,goal_02,truncado,7000,-398.35,1,0,1
121,goal_02,truncado,7000,-398.31,1,0,1
122,goal_02,truncado,7000,-398.31,1,0,1
123,goal_02,truncado,7000,-398.32,1,0,1
124,goal_02,truncado,7000,-398.35,1,0,1
125,goal_02,truncado,7000,-398.34,1,0,1
126,goal_02,truncado,7000,-398.32,1,0,1
127,goal_02,truncado,7000,-398.32,1,0,1
128,goal_02,truncado,7000,-398.33,1,0,1
129,goal_02,truncado,7000,-398.35,1,0,1
130,goal_02,truncado,7000,-398.29,1,0,1
131,goal_02,truncado,7000,-398.32,1,0,1
132,goal_02,truncado,7000,-398.32,1,0,1
133,goal_02,truncado,7000,-398.32,1,0,1
134,goal_02,truncado,7000,-398.3,1,0,1
135,goal_02,truncado,7000,-398.32,1,0,1
136,goal_02,truncado,7000,-398.31,1,0,1
137,goal_02,truncado,7000,-398.32,1,0,1
138,goal_02,truncado,7000,-398.31,1,0,1
139,goal_02,truncado,7000,-398.3,1,0,1
140,goal_02,truncado,7000,-398.31,1,0,1
141,goal_02,truncado,7000,-398.31,1,0,1
142,goal_02,truncado,7000,-398.32,1,0,1
143,goal_02,truncado,7000,-398.32,1,0,1
144,goal_02,truncado,7000,-398.31,1,0,1
145,goal_02,truncado,7000,-398.31,1,0,1
146,goal_02,truncado,7000,-398.33,1,0,1
147,goal_02,truncado,7000,-398.3,1,0,1
148,goal_02,truncado,7000,-398.3,1,0,1
149,goal_02,truncado,7000,-398.31,1,0,1
150,goal_02,truncado,7000,-398.32,1,0,1
151,goal_02,truncado,7000,-398.31,1,0,1
152,goal_02,truncado,7000,-398.32,1,0,1
153,goal_02,truncado,7000,-398.3,1,0,1
154,goal_02,truncado,7000,-398.32,1,0,1
155,goal_02,truncado,7000,-398.31,1,0,1
156,goal_02,truncado,7000,-398.31,1,0,1
157,goal_02,truncado,7000,-398.32,1,0,1
158,goal_02,truncado,7000,-398.3,1,0,1
159,goal_02,truncado,7000,-398.31,1,0,1
160,goal_02,truncado,7000,-398.31,1,0,1
161,goal_02,truncado,7000,-398.3,1,0,1
162,goal_02,truncado,7000,-398.3,1,0,1
163,goal_02,truncado,7000,-398.31,1,0,1
164,goal_02,truncado,7000,-398.31,1,0,1
165,goal_02,truncado,7000,-398.31,1,0,1
166,goal_02,truncado,7000,-398.3,1,0,1
167,goal_02,truncado,7000,-398.3,1,0,1
168,goal_02,truncado,7000,-398.32,1,0,1
169,goal_02,truncado,7000,-398.31,1,0,1
170,goal_02,truncado,7000,-398.31,1,0,1
171,goal_02,truncado,7000,-398.31,1,0,1
172,goal_02,truncado,7000,-398.31,1,0,1
173,goal_02,truncado,7000,-398.3,1,0,1
174,goal_02,truncado,7000,-398.32,1,0,1
175,goal_02,truncado,7000,-398.32,1,0,1
176,goal_02,truncado,7000,-398.31,1,0,1
177,goal_02,truncado,7000,-398.31,1,0,1
178,goal_02,truncado,7000,-398.31,1,0,1
179,goal_02,truncado,7000,-398.32,1,0,1
180,goal_02,truncado,7000,-398.32,1,0,1
181,goal_02,truncado,7000,-398.34,1,0,1
182,goal_02,truncado,7000,-398.31,1,0,1
183,goal_02,truncado,7000,-398.32,1,0,1
184,goal_02,truncado,7000,-398.31,1,0,1
185,goal_02,truncado,7000,-398.39,1,0,1
186,goal_02,truncado,7000,-398.36,1,0,1
187,goal_02,truncado,7000,-398.31,1,0,1
188,goal_02,truncado,7000,-398.32,1,0,1
189,goal_02,truncado,7000,-398.35,1,0,1
190,goal_02,truncado,7000,-398.3,1,0,1
191,goal_02,truncado,7000,-398.31,1,0,1
192,goal_02,truncado,7000,-398.32,1,0,1
193,goal_02,truncado,7000,-398.32,1,0,1
194,goal_02,truncado,7000,-398.31,1,0,1
195,goal_02,truncado,7000,-398.29,1,0,1
196,goal_02,truncado,7000,-398.32,1,0,1
197,goal_02,truncado,7000,-398.32,1,0,1
198,goal_02,truncado,7000,-398.32,1,0,1
199,goal_02,truncado,7000,-398.31,1,0,1
200,goal_02,truncado,7000,-398.31,1,0,1
201,goal_03,truncado,7000,-347.69,1,0,1
202,goal_03,truncado,7000,-347.69,1,0,1
203,goal_03,truncado,7000,-347.66,1,0,1
204,goal_03,truncado,7000,-347.66,1,0,1
205,goal_03,truncado,7000,-347.66,1,0,1
206,goal_03,truncado,7000,-347.69,1,0,1
207,goal_03,truncado,7000,-347.65,1,0,1
208,goal_03,truncado,7000,-347.67,1,0,1
209,goal_03,truncado,7000,-347.67,1,0,1
210,goal_03,truncado,7000,-347.67,1,0,1
211,goal_03,truncado,7000,-347.64,1,0,1
212,goal_03,truncado,7000,-347.66,1,0,1
213,goal_03,truncado,7000,-347.67,1,0,1
214,goal_03,truncado,7000,-347.66,1,0,1
215,goal_03,truncado,7000,-347.66,1,0,1
216,goal_03,truncado,7000,-347.65,1,0,1
217,goal_03,truncado,7000,-347.66,1,0,1
218,goal_03,truncado,7000,-347.67,1,0,1
219,goal_03,truncado,7000,-347.67,1,0,1
220,goal_03,truncado,7000,-347.65,1,0,1
221,goal_03,truncado,7000,-347.65,1,0,1
222,goal_03,truncado,7000,-347.66,1,0,1
223,goal_03,truncado,7000,-347.66,1,0,1
224,goal_03,truncado,7000,-347.66,1,0,1
225,goal_03,truncado,7000,-347.65,1,0,1
226,goal_03,truncado,7000,-347.66,1,0,1
227,goal_03,truncado,7000,-347.66,1,0,1
228,goal_03,truncado,7000,-347.66,1,0,1
229,goal_03,truncado,7000,-347.65,1,0,1
230,goal_03,truncado,7000,-347.66,1,0,1
231,goal_03,truncado,7000,-347.66,1,0,1
232,goal_03,truncado,7000,-347.66,1,0,1
233,goal_03,truncado,7000,-347.67,1,0,1
234,goal_03,truncado,7000,-347.65,1,0,1
235,goal_03,truncado,7000,-347.65,1,0,1
236,goal_03,truncado,7000,-347.66,1,0,1
237,goal_03,truncado,7000,-347.67,1,0,1
238,goal_03,truncado,7000,-347.66,1,0,1
239,goal_03,truncado,7000,-347.66,1,0,1
240,goal_03,truncado,7000,-347.66,1,0,1
241,goal_03,truncado,7000,-347.66,1,0,1
242,goal_03,truncado,7000,-347.67,1,0,1
243,goal_03,truncado,7000,-347.64,1,0,1
244,goal_03,truncado,7000,-347.66,1,0,1
245,goal_03,truncado,7000,-347.66,1,0,1
246,goal_03,truncado,7000,-347.67,1,0,1
247,goal_03,truncado,7000,-347.66,1,0,1
248,goal_03,truncado,7000,-347.64,1,0,1
249,goal_03,truncado,7000,-347.69,1,0,1
250,goal_03,truncado,7000,-347.67,1,0,1
251,goal_03,truncado,7000,-347.66,1,0,1
252,goal_03,truncado,7000,-347.65,1,0,1
253,goal_03,truncado,7000,-347.72,1,0,1
254,goal_03,truncado,7000,-347.68,1,0,1
255,goal_03,truncado,7000,-347.66,1,0,1
256,goal_03,truncado,7000,-347.66,1,0,1
257,goal_03,truncado,7000,-347.71,1,0,1
258,goal_03,truncado,7000,-347.69,1,0,1
259,goal_03,truncado,7000,-347.66,1,0,1
260,goal_03,truncado,7000,-347.67,1,0,1
261,goal_03,truncado,7000,-347.66,1,0,1
262,goal_03,truncado,7000,-347.73,1,0,1
263,goal_03,truncado,7000,-347.65,1,0,1
264,goal_03,truncado,7000,-347.67,1,0,1
265,goal_03,truncado,7000,-347.66,1,0,1
266,goal_03,truncado,7000,-347.66,1,0,1
267,goal_03,truncado,7000,-347.66,1,0,1
268,goal_03,truncado,7000,-347.67,1,0,1
269,goal_03,truncado,7000,-347.67,1,0,1
270,goal_03,truncado,7000,-347.66,1,0,1
271,goal_03,truncado,7000,-347.65,1,0,1
272,goal_03,truncado,7000,-347.66,1,0,1
273,goal_03,truncado,7000,-347.66,1,0,1
274,goal_03,truncado,7000,-347.66,1,0,1
275,goal_03,truncado,7000,-347.66,1,0,1
276,goal_03,truncado,7000,-347.65,1,0,1
277,goal_03,truncado,7000,-347.66,1,0,1
278,goal_03,truncado,7000,-347.66,1,0,1
279,goal_03,truncado,7000,-347.66,1,0,1
280,goal_03,truncado,7000,-347.67,1,0,1
281,goal_03,truncado,7000,-347.65,1,0,1
282,goal_03,truncado,7000,-347.66,1,0,1
283,goal_03,truncado,7000,-347.66,1,0,1
284,goal_03,truncado,7000,-347.67,1,0,1
285,goal_03,truncado,7000,-347.65,1,0,1
286,goal_03,truncado,7000,-347.65,1,0,1
287,goal_03,truncado,7000,-347.66,1,0,1
288,goal_03,truncado,7000,-347.66,1,0,1
289,goal_03,truncado,7000,-347.66,1,0,1
290,goal_03,truncado,7000,-347.65,1,0,1
291,goal_03,truncado,7000,-347.66,1,0,1
292,goal_03,truncado,7000,-347.66,1,0,1
293,goal_03,truncado,7000,-347.67,1,0,1
294,goal_03,truncado,7000,-347.65,1,0,1
295,goal_03,truncado,7000,-347.66,1,0,1
296,goal_03,truncado,7000,-347.65,1,0,1
297,goal_03,truncado,7000,-347.67,1,0,1
298,goal_03,truncado,7000,-347.67,1,0,1
299,goal_03,truncado,7000,-347.65,1,0,1
300,goal_03,truncado,7000,-347.65,1,0,1
301,goal_04,col_retorno,1884,229.58,1,1,0
