episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga
1,goal_01,exito,1702,431.9,1,1
2,goal_01,col_exit,867,5.41,1,0
3,goal_01,col_exit,725,-16.35,1,0
4,goal_01,exito,1768,437.63,1,1
5,goal_01,exito,1701,434.06,1,1
6,goal_01,col_exit,875,2.6,1,0
7,goal_01,col_exit,751,-19.57,1,0
8,goal_01,exito,1745,443.06,1,1
9,goal_01,col_exit,883,-2.26,1,0
10,goal_01,col_exit,723,-20.26,1,0
11,goal_01,exito,1762,441.9,1,1
12,goal_01,col_exit,873,3.98,1,0
13,goal_01,col_exit,801,-31.23,1,0
14,goal_01,col_exit,897,1.55,1,0
15,goal_01,col_exit,746,-21.24,1,0
16,goal_01,exito,1751,435.06,1,1
17,goal_01,col_exit,862,3.02,1,0
18,goal_01,col_exit,722,-16.21,1,0
19,goal_01,exito,1778,439.2,1,1
20,goal_01,col_exit,876,4.97,1,0
21,goal_01,col_exit,725,-18.41,1,0
22,goal_01,exito,1755,438.66,1,1
23,goal_01,exito,1711,437.53,1,1
24,goal_01,col_exit,873,3.1,1,0
25,goal_01,col_exit,748,-18.61,1,0
26,goal_01,exito,1743,442.82,1,1
27,goal_01,col_exit,882,-1.13,1,0
28,goal_01,col_exit,721,-19.58,1,0
29,goal_01,exito,1760,440.24,1,1
30,goal_01,col_exit,874,4.54,1,0
31,goal_01,col_exit,817,-32.91,1,0
32,goal_01,col_exit,882,2.56,1,0
33,goal_01,col_exit,724,-17.17,1,0
34,goal_01,exito,1758,438.62,1,1
35,goal_01,exito,1707,436.58,1,1
36,goal_01,col_exit,872,2.4,1,0
37,goal_01,col_exit,751,-18.64,1,0
38,goal_01,exito,1746,440.57,1,1
39,goal_01,col_exit,859,3.48,1,0
40,goal_01,col_exit,718,-17.5,1,0
41,goal_01,exito,1750,427.93,1,1
42,goal_01,exito,1725,441.68,1,1
43,goal_01,col_exit,866,5.5,1,0
44,goal_01,col_exit,724,-16.6,1,0
45,goal_01,exito,1755,429.04,1,1
46,goal_01,exito,1704,435.73,1,1
47,goal_01,col_exit,872,3.66,1,0
48,goal_01,col_exit,767,-21.34,1,0
49,goal_01,exito,1745,443.12,1,1
50,goal_01,col_exit,870,3.23,1,0
51,goal_01,col_exit,720,-18.66,1,0
52,goal_01,exito,1769,440.07,1,1
53,goal_01,exito,1704,432.17,1,1
54,goal_01,col_exit,870,4.94,1,0
55,goal_01,col_exit,721,-16.91,1,0
56,goal_01,exito,1757,437.98,1,1
57,goal_01,exito,1711,437.48,1,1
58,goal_01,col_exit,871,2.93,1,0
59,goal_01,col_exit,812,-34.61,1,0
60,goal_01,col_exit,882,0.23,1,0
61,goal_01,col_exit,746,-20.77,1,0
62,goal_01,exito,1751,435.23,1,1
63,goal_01,col_exit,864,2.95,1,0
64,goal_01,col_exit,722,-15.92,1,0
65,goal_01,exito,1775,440.9,1,1
66,goal_01,col_exit,868,5.6,1,0
67,goal_01,col_exit,725,-17.0,1,0
68,goal_01,exito,1768,437.62,1,1
69,goal_01,exito,1701,434.07,1,1
70,goal_01,col_exit,875,2.61,1,0
71,goal_01,col_exit,750,-19.32,1,0
