episodio,resultado,pasos,reward
1,exito,442,143.27
2,exito,405,149.37
3,exito,405,149.48
4,exito,406,149.4
5,exito,436,143.38
6,exito,405,149.48
7,exito,429,143.82
8,exito,440,143.42
9,exito,406,149.32
10,exito,404,149.83
11,exito,438,143.33
12,exito,404,149.68
13,exito,422,144.29
14,exito,440,143.43
15,exito,424,144.25
16,exito,405,149.31
17,exito,419,144.6
18,exito,406,149.47
19,exito,434,143.59
20,exito,438,143.41
21,exito,405,149.85
22,exito,405,149.42
23,exito,426,144.03
24,exito,441,143.33
25,exito,441,143.31
26,exito,404,149.54
27,exito,404,149.82
28,exito,406,149.41
29,exito,430,143.89
30,exito,430,143.86
31,exito,405,149.57
32,exito,404,149.68
33,exito,435,143.52
34,exito,429,143.93
35,exito,405,149.57
36,exito,430,143.88
37,exito,431,143.63
38,exito,404,149.75
39,exito,418,144.81
40,exito,406,149.37
41,exito,406,149.46
42,exito,404,149.84
43,exito,404,149.46
44,exito,437,143.38
45,exito,406,149.26
46,exito,441,143.27
47,exito,404,149.68
48,exito,433,143.66
49,exito,437,143.53
50,exito,435,143.52
51,exito,406,149.4
52,exito,426,144.06
53,exito,405,149.43
54,exito,435,143.53
55,exito,432,143.59
56,exito,435,143.47
57,exito,441,143.32
58,exito,404,149.75
59,exito,405,149.49
60,exito,433,143.68
61,exito,405,149.44
62,exito,441,143.31
63,exito,405,149.29
64,exito,430,143.79
65,exito,438,143.4
66,exito,441,143.27
67,exito,406,149.41
68,exito,423,144.21
69,exito,441,143.45
70,exito,429,143.91
71,exito,404,149.68
72,exito,406,149.4
73,exito,433,143.56
74,exito,427,144.05
75,exito,404,150.1
76,exito,423,144.24
77,exito,438,143.35
78,exito,404,149.97
79,exito,405,149.31
80,exito,435,143.57
81,exito,405,149.41
82,exito,440,143.43
83,exito,405,149.36
84,exito,405,149.63
85,exito,404,149.61
86,exito,404,149.68
87,exito,439,143.36
88,exito,438,143.33
89,exito,405,149.65
90,exito,405,149.28
91,exito,404,149.75
92,exito,437,143.39
93,exito,406,149.51
94,exito,405,149.51
95,exito,405,149.44
96,exito,406,149.38
97,exito,436,143.37
98,exito,418,144.8
99,exito,433,143.56
100,exito,405,149.38
101,exito,434,143.64
102,exito,405,149.36
103,exito,404,149.61
104,exito,438,143.38
105,exito,435,143.59
106,exito,438,143.41
107,exito,405,149.87
108,exito,404,150.0
109,exito,418,144.68
110,exito,438,143.4
111,exito,405,149.57
112,exito,427,143.96
113,exito,433,143.67
114,exito,439,143.26
115,exito,406,149.4
116,exito,433,143.54
117,exito,430,143.87
118,exito,441,143.31
119,exito,404,149.61
120,exito,442,143.31
121,exito,438,143.39
122,exito,405,149.66
123,exito,425,144.12
124,exito,404,149.61
125,exito,405,149.64
126,exito,443,143.43
127,exito,415,144.89
128,exito,440,143.34
129,exito,439,143.42
130,exito,405,149.78
131,exito,438,143.4
132,exito,430,143.81
133,exito,440,143.31
134,exito,438,143.36
135,exito,430,143.72
136,exito,430,143.72
137,exito,405,149.49
138,exito,427,144.01
139,exito,405,149.39
140,exito,427,143.96
141,exito,422,144.36
142,exito,404,149.46
143,exito,404,149.46
144,exito,439,143.51
145,exito,442,143.35
146,exito,404,149.75
147,exito,442,143.34
148,exito,425,144.13
149,exito,405,149.28
150,exito,405,149.65
151,exito,405,149.65
152,exito,404,150.17
153,exito,432,143.74
154,exito,405,149.49
155,exito,404,149.43
156,exito,404,150.17
157,exito,404,149.83
158,exito,404,149.61
159,exito,404,149.53
160,exito,404,149.75
161,exito,406,149.4
162,exito,405,149.36
163,exito,405,149.78
164,exito,405,149.37
165,exito,433,143.52
166,exito,436,143.58
167,exito,440,143.44
168,exito,407,149.35
169,exito,433,143.56
170,exito,405,149.69
171,exito,405,149.64
172,exito,437,143.51
173,exito,405,149.37
174,exito,405,149.57
175,exito,441,143.28
176,exito,404,149.9
177,exito,443,143.41
178,exito,426,144.06
179,exito,432,143.69
180,exito,405,149.35
181,exito,443,143.35
182,exito,432,143.74
183,exito,406,149.39
184,exito,406,149.38
185,exito,405,149.58
186,exito,423,144.16
187,exito,438,143.32
188,exito,405,149.3
189,exito,405,149.63
190,exito,405,149.49
191,exito,405,149.61
192,exito,404,149.61
193,exito,442,143.26
194,exito,404,149.83
195,exito,437,143.4
196,exito,405,149.48
197,exito,405,149.63
198,exito,405,149.38
199,exito,405,149.64
200,exito,405,149.31
201,exito,405,149.66
202,exito,404,149.83
203,exito,405,149.31
204,exito,404,149.6
205,exito,405,149.31
206,exito,436,143.38
207,exito,432,143.68
208,exito,425,143.99
209,exito,435,143.5
210,exito,431,143.8
211,exito,406,149.46
212,exito,404,149.53
213,exito,442,143.3
214,exito,404,149.81
215,exito,426,144.02
216,exito,430,143.74
217,exito,405,149.37
218,exito,404,149.81
219,exito,432,143.71
220,exito,406,149.39
221,exito,441,143.27
222,exito,441,143.27
223,exito,405,149.81
224,exito,436,143.42
225,exito,405,149.31
226,exito,422,144.39
227,exito,404,150.04
228,exito,436,143.51
229,exito,437,143.52
230,exito,441,143.2
231,exito,428,143.8
232,exito,422,144.35
233,exito,405,149.31
234,exito,431,143.62
235,exito,406,149.39
236,exito,441,143.27
237,exito,442,143.35
238,exito,405,149.36
239,exito,441,143.3
240,exito,405,149.32
241,exito,435,143.59
242,exito,429,143.78
243,exito,439,143.36
244,exito,405,149.3
245,exito,429,143.82
246,exito,439,143.29
247,exito,404,149.67
248,exito,405,149.38
249,exito,405,149.3
250,exito,404,149.61
251,exito,432,143.71
252,exito,404,149.68
253,exito,404,149.68
254,exito,441,143.3
255,exito,440,143.36
256,exito,441,143.33
