episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga
132,goal_02,exito,1874,481.67,1,1
133,goal_02,exito,1874,481.66,1,1
134,goal_02,exito,1874,481.68,1,1
135,goal_02,exito,1874,481.66,1,1
136,goal_02,exito,1874,481.66,1,1
137,goal_02,exito,1874,481.67,1,1
138,goal_02,exito,1874,481.68,1,1
139,goal_02,exito,1874,481.68,1,1
140,goal_02,exito,1874,481.66,1,1
141,goal_02,exito,1874,481.66,1,1
142,goal_02,exito,1874,481.67,1,1
143,goal_02,exito,1874,481.66,1,1
144,goal_02,exito,1874,481.67,1,1
145,goal_02,exito,1874,481.66,1,1
146,goal_02,exito,1874,481.66,1,1
147,goal_02,exito,1874,481.66,1,1
148,goal_02,exito,1874,481.66,1,1
149,goal_02,exito,1874,481.68,1,1
150,goal_02,exito,1874,481.66,1,1
151,goal_02,exito,1876,481.91,1,1
152,goal_02,exito,1874,481.66,1,1
153,goal_02,exito,1874,481.67,1,1
154,goal_02,exito,1874,481.66,1,1
155,goal_02,exito,1874,481.66,1,1
156,goal_02,exito,1874,481.67,1,1
157,goal_02,exito,1874,481.68,1,1
158,goal_02,exito,1874,481.67,1,1
159,goal_02,exito,1874,481.66,1,1
160,goal_02,exito,1874,481.66,1,1
161,goal_02,exito,1874,481.66,1,1
162,goal_02,exito,1874,481.67,1,1
163,goal_02,exito,1874,481.68,1,1
164,goal_02,exito,1874,481.66,1,1
165,goal_02,exito,1874,481.66,1,1
166,goal_02,exito,1874,481.64,1,1
167,goal_02,exito,1874,481.66,1,1
168,goal_02,exito,1874,481.67,1,1
169,goal_02,exito,1874,481.66,1,1
170,goal_02,exito,1874,481.66,1,1
171,goal_02,exito,1874,481.67,1,1
172,goal_02,exito,1874,481.66,1,1
173,goal_02,exito,1874,481.68,1,1
174,goal_02,exito,1874,481.66,1,1
175,goal_02,exito,1874,481.66,1,1
176,goal_02,exito,1874,481.67,1,1
177,goal_02,exito,1874,481.68,1,1
178,goal_02,exito,1874,481.66,1,1
179,goal_02,exito,1874,481.66,1,1
180,goal_02,exito,1874,481.66,1,1
181,goal_02,exito,1874,481.67,1,1
182,goal_02,exito,1874,481.66,1,1
183,goal_02,exito,1874,481.66,1,1
184,goal_02,exito,1874,481.65,1,1
185,goal_02,exito,1876,481.91,1,1
186,goal_02,exito,1874,481.66,1,1
187,goal_02,exito,1874,481.68,1,1
188,goal_02,exito,1874,481.66,1,1
189,goal_02,exito,1874,481.66,1,1
190,goal_02,exito,1874,481.68,1,1
191,goal_02,exito,1874,481.67,1,1
192,goal_02,exito,1874,481.67,1,1
193,goal_02,exito,1874,481.66,1,1
194,goal_02,exito,1874,481.66,1,1
195,goal_02,exito,1874,481.67,1,1
196,goal_02,exito,1874,481.68,1,1
197,goal_02,exito,1874,481.68,1,1
198,goal_02,exito,1874,481.66,1,1
199,goal_02,exito,1874,481.66,1,1
200,goal_02,exito,1874,481.65,1,1
201,goal_03,exito,2094,513.27,1,1
202,goal_03,exito,2094,513.27,1,1
203,goal_03,exito,2094,513.27,1,1
204,goal_03,exito,2094,513.27,1,1
205,goal_03,exito,2094,513.27,1,1
206,goal_03,exito,2094,513.26,1,1
207,goal_03,exito,2094,513.25,1,1
208,goal_03,exito,2094,513.26,1,1
209,goal_03,exito,2094,513.26,1,1
210,goal_03,exito,2094,513.26,1,1
211,goal_03,exito,2094,513.26,1,1
212,goal_03,exito,2094,513.26,1,1
213,goal_03,exito,2094,513.26,1,1
214,goal_03,exito,2094,513.19,1,1
215,goal_03,exito,2094,513.25,1,1
216,goal_03,exito,2094,513.25,1,1
217,goal_03,exito,2094,513.24,1,1
218,goal_03,exito,2094,513.26,1,1
