episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
1,goal_01,exit,truncado,2500,28.69,True
2,goal_01,exit,truncado,2500,27.06,True
3,goal_01,exit,truncado,2500,28.58,True
4,goal_01,exit,truncado,2500,28.42,True
5,goal_01,exit,truncado,2500,28.67,True
6,goal_01,exit,truncado,2500,29.04,True
7,goal_01,exit,truncado,2500,28.97,True
8,goal_01,exit,truncado,2500,27.88,True
9,goal_01,exit,truncado,2500,27.34,True
10,goal_01,exit,truncado,2500,27.78,True
11,goal_01,exit,truncado,2500,28.63,True
12,goal_01,exit,truncado,2500,28.18,True
13,goal_01,exit,truncado,2500,27.06,True
14,goal_01,exit,truncado,2500,27.93,True
15,goal_01,exit,truncado,2500,29.07,True
16,goal_01,exit,truncado,2500,27.36,True
17,goal_01,exit,truncado,2500,27.95,True
18,goal_01,exit,truncado,2500,28.87,True
19,goal_01,exit,truncado,2500,28.63,True
20,goal_01,exit,truncado,2500,27.9,True
21,goal_01,exit,truncado,2500,28.13,True
22,goal_01,exit,truncado,2500,28.11,True
23,goal_01,exit,truncado,2500,28.98,True
24,goal_01,exit,truncado,2500,28.4,True
25,goal_01,exit,truncado,2500,27.12,True
26,goal_01,exit,truncado,2500,28.56,True
27,goal_01,exit,truncado,2500,28.61,True
28,goal_01,exit,truncado,2500,26.97,True
29,goal_01,exit,truncado,2500,28.66,True
30,goal_01,exit,truncado,2500,28.89,True
31,goal_01,exit,truncado,2500,28.97,True
32,goal_01,exit,truncado,2500,28.32,True
33,goal_01,exit,truncado,2500,28.6,True
34,goal_01,exit,truncado,2500,28.62,True
35,goal_01,exit,truncado,2500,27.96,True
36,goal_01,exit,truncado,2500,28.64,True
37,goal_01,exit,truncado,2500,28.12,True
38,goal_01,exit,truncado,2500,28.28,True
39,goal_01,exit,truncado,2500,28.93,True
40,goal_01,exit,truncado,2500,28.62,True
41,goal_01,exit,truncado,2500,28.56,True
42,goal_01,exit,truncado,2500,28.66,True
43,goal_01,exit,truncado,2500,27.86,True
44,goal_01,exit,truncado,2500,29.0,True
45,goal_01,exit,truncado,2500,27.12,True
46,goal_01,exit,truncado,2500,28.83,True
47,goal_01,exit,truncado,2500,26.75,True
48,goal_01,exit,truncado,2500,27.4,True
49,goal_01,exit,truncado,2500,27.74,True
50,goal_01,exit,truncado,2500,27.82,True
51,goal_01,exit,truncado,2500,29.01,True
