episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
1,goal_001,1,col_approach,160,-193.4,02,sthwp,524,1
2,goal_001,2,col_approach,148,-191.63,02,sthwp,524,1
3,goal_001,3,col_approach,147,-191.25,02,sthwp,524,1
4,goal_001,4,col_approach,147,-191.32,02,sthwp,524,1
5,goal_001,5,col_approach,147,-191.25,02,sthwp,524,1
6,goal_001,6,col_approach,147,-191.31,02,sthwp,524,1
7,goal_001,7,col_approach,147,-191.24,02,sthwp,524,1
8,goal_001,8,col_approach,147,-191.28,02,sthwp,524,1
9,goal_001,9,col_approach,147,-191.24,02,sthwp,524,1
10,goal_001,10,col_approach,147,-191.31,02,sthwp,524,1
11,goal_002,1,col_approach,147,-191.23,02,sthwp,524,1
12,goal_002,2,col_approach,147,-191.3,02,sthwp,524,1
13,goal_002,3,col_approach,147,-191.27,02,sthwp,524,1
14,goal_002,4,col_approach,147,-191.32,02,sthwp,524,1
15,goal_002,5,col_approach,147,-191.24,02,sthwp,524,1
16,goal_002,6,col_approach,147,-191.3,02,sthwp,524,1
17,goal_002,7,col_approach,147,-191.24,02,sthwp,524,1
18,goal_002,8,col_approach,147,-191.3,02,sthwp,524,1
19,goal_002,9,col_approach,147,-191.25,02,sthwp,524,1
20,goal_002,10,col_approach,147,-191.31,02,sthwp,524,1
21,goal_003,1,exito,5769,1026.26,02,sthwp,524,1
22,goal_003,2,exito,5759,1026.79,02,sthwp,524,1
23,goal_003,3,exito,5759,1028.43,02,sthwp,524,1
24,goal_003,4,exito,5758,1028.77,02,sthwp,524,1
25,goal_003,5,exito,5759,1018.24,02,sthwp,524,1
26,goal_003,6,col_exit,3120,305.0,02,sthwp,524,1
27,goal_003,7,exito,5760,1024.03,02,sthwp,524,1
28,goal_003,8,exito,5757,1028.91,02,sthwp,524,1
29,goal_003,9,exito,5758,1028.77,02,sthwp,524,1
30,goal_003,10,exito,5759,1028.43,02,sthwp,524,1
31,goal_004,1,exito,5674,1027.17,02,sthwp,524,1
32,goal_004,2,exito,5674,1027.17,02,sthwp,524,1
33,goal_004,3,exito,5674,1014.92,02,sthwp,524,1
34,goal_004,4,exito,5674,1012.49,02,sthwp,524,1
35,goal_004,5,exito,5676,1026.93,02,sthwp,524,1
36,goal_004,6,exito,5674,1027.16,02,sthwp,524,1
37,goal_004,7,exito,5674,1026.6,02,sthwp,524,1
38,goal_004,8,exito,5674,1027.16,02,sthwp,524,1
39,goal_004,9,exito,5674,1027.16,02,sthwp,524,1
40,goal_004,10,exito,5674,1024.26,02,sthwp,524,1
41,goal_005,1,exito,5640,1028.44,02,sthwp,524,1
42,goal_005,2,exito,5640,1028.44,02,sthwp,524,1
43,goal_005,3,exito,5640,1023.96,02,sthwp,524,1
44,goal_005,4,col_exit,3045,300.32,02,sthwp,524,1
45,goal_005,5,exito,5641,1028.17,02,sthwp,524,1
46,goal_005,6,exito,5640,1028.45,02,sthwp,524,1
47,goal_005,7,exito,5640,1025.23,02,sthwp,524,1
48,goal_005,8,exito,5640,986.91,02,sthwp,524,1
49,goal_005,9,exito,5640,1028.45,02,sthwp,524,1
50,goal_005,10,exito,5642,1028.24,02,sthwp,524,1
51,goal_006,1,exito,5634,1025.41,02,sthwp,524,1
52,goal_006,2,exito,5634,1026.21,02,sthwp,524,1
53,goal_006,3,exito,5634,1026.21,02,sthwp,524,1
54,goal_006,4,exito,5634,1024.84,02,sthwp,524,1
55,goal_006,5,exito,5634,1026.16,02,sthwp,524,1
56,goal_006,6,exito,5635,1025.97,02,sthwp,524,1
57,goal_006,7,exito,5634,1004.42,02,sthwp,524,1
58,goal_006,8,exito,5634,1019.82,02,sthwp,524,1
59,goal_006,9,exito,5634,1026.16,02,sthwp,524,1
60,goal_006,10,exito,5634,1026.16,02,sthwp,524,1
61,goal_007,1,exito,5628,1007.77,02,sthwp,524,1
62,goal_007,2,exito,5628,1022.96,02,sthwp,524,1
63,goal_007,3,exito,5628,1022.98,02,sthwp,524,1
64,goal_007,4,exito,5628,1022.94,02,sthwp,524,1
65,goal_007,5,exito,5628,1022.97,02,sthwp,524,1
66,goal_007,6,exito,5628,1023.04,02,sthwp,524,1
67,goal_007,7,exito,5628,1018.57,02,sthwp,524,1
68,goal_007,8,exito,5628,1023.04,02,sthwp,524,1
69,goal_007,9,exito,5628,1022.97,02,sthwp,524,1
70,goal_007,10,exito,5628,1010.08,02,sthwp,524,1
71,goal_008,1,exito,5620,1013.39,02,sthwp,524,1
