episodio,goal_id,resultado,pasos,reward,warehouse_id,metodo,seed
125,goal_125,exito,4689,925.48,02,subwp,524
126,goal_126,exito,4695,925.9,02,subwp,524
127,goal_127,exito,4697,927.86,02,subwp,524
128,goal_128,exito,4693,925.13,02,subwp,524
129,goal_129,exito,4694,926.79,02,subwp,524
130,goal_130,exito,4693,924.95,02,subwp,524
131,goal_131,exito,4696,925.5,02,subwp,524
132,goal_132,exito,4692,925.25,02,subwp,524
133,goal_133,exito,4696,926.79,02,subwp,524
134,goal_134,exito,4691,927.32,02,subwp,524
135,goal_135,exito,5476,1032.94,02,subwp,524
136,goal_136,exito,5452,1031.22,02,subwp,524
137,goal_137,exito,5494,1031.45,02,subwp,524
138,goal_138,exito,5480,1035.79,02,subwp,524
139,goal_139,exito,5469,1035.18,02,subwp,524
140,goal_140,exito,5464,1035.03,02,subwp,524
141,goal_141,exito,5469,1035.27,02,subwp,524
142,goal_142,exito,5463,1035.06,02,subwp,524
143,goal_143,exito,5468,1036.09,02,subwp,524
144,goal_144,exito,5485,1033.95,02,subwp,524
145,goal_145,exito,5468,1036.14,02,subwp,524
146,goal_146,exito,5485,1034.08,02,subwp,524
147,goal_147,exito,5468,1036.93,02,subwp,524
148,goal_148,exito,5470,1037.64,02,subwp,524
149,goal_149,exito,5715,1036.07,02,subwp,524
150,goal_150,exito,5475,1010.24,02,subwp,524
151,goal_151,exito,5243,980.04,02,subwp,524
152,goal_152,exito,5081,960.17,02,subwp,524
153,goal_153,exito,4960,930.71,02,subwp,524
154,goal_154,exito,4705,897.54,02,subwp,524
155,goal_155,exito,4608,905.28,02,subwp,524
156,goal_156,exito,4842,933.49,02,subwp,524
157,goal_157,exito,4992,966.11,02,subwp,524
158,goal_158,exito,5144,985.39,02,subwp,524
159,goal_159,exito,5374,1012.92,02,subwp,524
160,goal_160,exito,5630,1047.16,02,subwp,524
161,goal_161,exito,5703,1046.68,02,subwp,524
162,goal_162,exito,5514,1018.4,02,subwp,524
163,goal_163,exito,5273,987.44,02,subwp,524
164,goal_164,exito,5069,974.47,02,subwp,524
165,goal_165,exito,4912,952.53,02,subwp,524
166,goal_166,exito,4714,918.59,02,subwp,524
167,goal_167,exito,4654,910.25,02,subwp,524
168,goal_168,exito,4821,951.64,02,subwp,524
169,goal_169,exito,4977,970.97,02,subwp,524
170,goal_170,exito,5144,985.47,02,subwp,524
171,goal_171,exito,5394,1012.93,02,subwp,524
172,goal_172,exito,5629,1044.97,02,subwp,524
