episodio,goal_id,resultado,pasos,reward,warehouse_id,metodo,seed
1,goal_001,exito,4146,843.22,03,sthwp,524
2,goal_002,exito,4144,840.97,03,sthwp,524
3,goal_003,exito,4143,840.49,03,sthwp,524
4,goal_004,exito,4143,840.52,03,sthwp,524
5,goal_005,exito,4143,840.52,03,sthwp,524
6,goal_006,exito,4143,840.49,03,sthwp,524
7,goal_007,exito,4143,840.48,03,sthwp,524
8,goal_008,exito,4143,840.46,03,sthwp,524
9,goal_009,exito,4143,840.46,03,sthwp,524
10,goal_010,exito,4143,840.5,03,sthwp,524
11,goal_011,exito,4143,840.49,03,sthwp,524
12,goal_012,exito,4143,840.52,03,sthwp,524
13,goal_013,exito,4144,840.71,03,sthwp,524
14,goal_014,exito,4144,839.76,03,sthwp,524
15,goal_015,exito,4295,858.05,03,sthwp,524
16,goal_016,exito,4468,873.66,03,sthwp,524
17,goal_017,exito,4699,906.72,03,sthwp,524
18,goal_018,exito,4907,940.37,03,sthwp,524
19,goal_019,exito,4272,852.94,03,sthwp,524
20,goal_020,exito,4445,869.66,03,sthwp,524
21,goal_021,exito,4685,904.57,03,sthwp,524
22,goal_022,exito,4905,936.85,03,sthwp,524
23,goal_023,exito,5566,1043.21,03,sthwp,524
24,goal_024,exito,5799,1075.41,03,sthwp,524
25,goal_025,exito,6013,1108.12,03,sthwp,524
26,goal_026,exito,6261,1144.76,03,sthwp,524
27,goal_027,exito,5387,1023.25,03,sthwp,524
28,goal_028,exito,5616,1047.1,03,sthwp,524
29,goal_029,exito,5836,1078.37,03,sthwp,524
30,goal_030,exito,6068,1115.38,03,sthwp,524
31,goal_031,exito,4269,846.06,03,sthwp,524
32,goal_032,exito,4454,867.18,03,sthwp,524
33,goal_033,exito,4681,899.79,03,sthwp,524
34,goal_034,exito,4897,930.68,03,sthwp,524
35,goal_035,exito,4271,852.6,03,sthwp,524
36,goal_036,exito,4442,867.97,03,sthwp,524
37,goal_037,exito,4682,904.07,03,sthwp,524
38,goal_038,exito,4905,936.72,03,sthwp,524
39,goal_039,exito,5417,1027.02,03,sthwp,524
40,goal_040,exito,5644,1049.02,03,sthwp,524
41,goal_041,exito,5851,1078.9,03,sthwp,524
42,goal_042,exito,6088,1113.2,03,sthwp,524
43,goal_043,exito,5351,1019.25,03,sthwp,524
44,goal_044,exito,5626,1050.84,03,sthwp,524
45,goal_045,exito,5839,1082.29,03,sthwp,524
46,goal_046,exito,6093,1117.89,03,sthwp,524
47,goal_047,exito,4283,850.71,03,sthwp,524
48,goal_048,exito,4449,865.12,03,sthwp,524
49,goal_049,exito,4677,899.18,03,sthwp,524
50,goal_050,exito,4896,930.48,03,sthwp,524
51,goal_051,exito,4259,849.15,03,sthwp,524
52,goal_052,exito,4441,868.12,03,sthwp,524
53,goal_053,exito,4680,903.2,03,sthwp,524
54,goal_054,exito,4901,935.45,03,sthwp,524
55,goal_055,exito,5367,1018.33,03,sthwp,524
56,goal_056,exito,5617,1045.86,03,sthwp,524
57,goal_057,exito,5836,1077.59,03,sthwp,524
58,goal_058,exito,6089,1111.75,03,sthwp,524
59,goal_059,exito,5364,1021.35,03,sthwp,524
60,goal_060,exito,5583,1043.71,03,sthwp,524
61,goal_061,exito,5818,1079.43,03,sthwp,524
62,goal_062,exito,6092,1119.58,03,sthwp,524
63,goal_063,exito,4269,846.78,03,sthwp,524
64,goal_064,exito,4438,861.87,03,sthwp,524
65,goal_065,exito,4678,898.66,03,sthwp,524
66,goal_066,exito,4892,929.18,03,sthwp,524
67,goal_067,exito,4285,858.76,03,sthwp,524
68,goal_068,exito,4464,887.81,03,sthwp,524
69,goal_069,exito,4691,916.14,03,sthwp,524
70,goal_070,exito,4915,949.85,03,sthwp,524
71,goal_071,exito,5369,1018.87,03,sthwp,524
72,goal_072,exito,5592,1041.64,03,sthwp,524
73,goal_073,exito,5800,1072.11,03,sthwp,524
74,goal_074,exito,6090,1114.6,03,sthwp,524
75,goal_075,exito,5557,1043.3,03,sthwp,524
76,goal_076,exito,5813,1074.77,03,sthwp,524
77,goal_077,exito,6025,1106.44,03,sthwp,524
78,goal_078,exito,6274,1142.95,03,sthwp,524
79,goal_079,exito,4826,937.68,03,sthwp,524
80,goal_080,exito,5049,969.69,03,sthwp,524
81,goal_081,exito,5267,1001.61,03,sthwp,524
82,goal_082,exito,5517,1038.34,03,sthwp,524
83,goal_083,exito,5676,1072.27,03,sthwp,524
84,goal_084,exito,5855,1098.99,03,sthwp,524
85,goal_085,exito,6037,1125.78,03,sthwp,524
86,goal_086,exito,6249,1155.98,03,sthwp,524
87,goal_087,exito,6486,1189.01,03,sthwp,524
88,goal_088,exito,4799,929.58,03,sthwp,524
89,goal_089,exito,5041,964.78,03,sthwp,524
90,goal_090,exito,5238,994.1,03,sthwp,524
91,goal_091,exito,5468,1027.55,03,sthwp,524
92,goal_092,exito,5653,1071.58,03,sthwp,524
93,goal_093,exito,5820,1094.26,03,sthwp,524
94,goal_094,exito,6035,1114.65,03,sthwp,524
95,goal_095,exito,6240,1141.9,03,sthwp,524
96,goal_096,exito,6466,1175.44,03,sthwp,524
