episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
105,goal_011,5,exito,5628,1022.59,02,subwp,524,1
106,goal_011,6,exito,5637,990.91,02,subwp,524,1
107,goal_011,7,exito,5628,1028.52,02,subwp,524,1
108,goal_011,8,exito,5628,1028.46,02,subwp,524,1
109,goal_011,9,exito,5628,1028.08,02,subwp,524,1
110,goal_011,10,exito,5628,1028.46,02,subwp,524,1
111,goal_012,1,exito,5650,1023.4,02,subwp,524,1
112,goal_012,2,exito,5650,1023.39,02,subwp,524,1
113,goal_012,3,exito,5650,1023.38,02,subwp,524,1
114,goal_012,4,exito,5650,1023.4,02,subwp,524,1
115,goal_012,5,exito,5650,999.06,02,subwp,524,1
116,goal_012,6,exito,5650,998.93,02,subwp,524,1
117,goal_012,7,exito,5650,1023.38,02,subwp,524,1
118,goal_012,8,exito,5650,1023.37,02,subwp,524,1
119,goal_012,9,exito,5650,1021.99,02,subwp,524,1
120,goal_012,10,exito,5650,1023.37,02,subwp,524,1
121,goal_013,1,exito,5626,1027.67,02,subwp,524,1
122,goal_013,2,exito,5627,1027.33,02,subwp,524,1
123,goal_013,3,exito,5626,1027.74,02,subwp,524,1
124,goal_013,4,exito,5626,1027.7,02,subwp,524,1
125,goal_013,5,exito,5626,1015.14,02,subwp,524,1
126,goal_013,6,exito,5626,1025.33,02,subwp,524,1
127,goal_013,7,exito,5626,1027.77,02,subwp,524,1
128,goal_013,8,exito,5626,1022.76,02,subwp,524,1
129,goal_013,9,exito,5626,996.03,02,subwp,524,1
130,goal_013,10,exito,5626,1027.7,02,subwp,524,1
131,goal_014,1,exito,5650,1022.88,02,subwp,524,1
132,goal_014,2,exito,5650,1022.93,02,subwp,524,1
133,goal_014,3,exito,5650,1022.86,02,subwp,524,1
134,goal_014,4,exito,5650,1022.93,02,subwp,524,1
135,goal_014,5,exito,5650,1021.73,02,subwp,524,1
136,goal_014,6,exito,5650,1022.88,02,subwp,524,1
137,goal_014,7,exito,5650,1022.87,02,subwp,524,1
138,goal_014,8,exito,5650,1007.61,02,subwp,524,1
139,goal_014,9,exito,5650,985.05,02,subwp,524,1
140,goal_014,10,exito,5650,1022.88,02,subwp,524,1
141,goal_015,1,exito,5626,1028.61,02,subwp,524,1
142,goal_015,2,exito,5626,1027.73,02,subwp,524,1
143,goal_015,3,exito,5626,1028.61,02,subwp,524,1
