episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
1,goal_001,1,exito,14404,2201.02,05,subwp,123,1
2,goal_001,2,exito,14397,2201.58,05,subwp,123,1
3,goal_001,3,exito,14397,2201.6,05,subwp,123,1
4,goal_001,4,exito,14397,2201.53,05,subwp,123,1
5,goal_001,5,exito,14397,2201.57,05,subwp,123,1
6,goal_001,6,exito,14397,2201.55,05,subwp,123,1
7,goal_001,7,exito,14397,2201.59,05,subwp,123,1
8,goal_001,8,exito,14397,2201.53,05,subwp,123,1
9,goal_001,9,col_return,8544,1145.37,05,subwp,123,1
10,goal_001,10,exito,14395,2202.08,05,subwp,123,1
11,goal_002,1,exito,14283,2189.19,05,subwp,123,1
12,goal_002,2,col_return,8635,1157.09,05,subwp,123,1
13,goal_002,3,exito,14280,2189.55,05,subwp,123,1
14,goal_002,4,exito,14317,1965.1,05,subwp,123,1
15,goal_002,5,col_return,8778,1168.9,05,subwp,123,1
16,goal_002,6,exito,14282,2189.56,05,subwp,123,1
17,goal_002,7,col_return,8478,1136.62,05,subwp,123,1
18,goal_002,8,exito,14281,2189.64,05,subwp,123,1
19,goal_002,9,exito,14283,2175.83,05,subwp,123,1
20,goal_002,10,col_return,8726,1162.06,05,subwp,123,1
21,goal_003,1,exito,14166,2185.7,05,subwp,123,1
22,goal_003,2,col_return,8459,1142.59,05,subwp,123,1
23,goal_003,3,exito,14166,2185.6,05,subwp,123,1
24,goal_003,4,col_return,8395,1135.78,05,subwp,123,1
25,goal_003,5,exito,14166,2185.58,05,subwp,123,1
26,goal_003,6,col_return,8363,1129.46,05,subwp,123,1
27,goal_003,7,exito,14166,2185.66,05,subwp,123,1
28,goal_003,8,col_return,8348,1126.9,05,subwp,123,1
29,goal_003,9,exito,14166,2185.71,05,subwp,123,1
30,goal_003,10,col_return,8337,1126.35,05,subwp,123,1
31,goal_004,1,exito,14124,2180.81,05,subwp,123,1
32,goal_004,2,col_return,8338,1128.33,05,subwp,123,1
33,goal_004,3,exito,14125,2180.96,05,subwp,123,1
34,goal_004,4,col_return,8349,1133.17,05,subwp,123,1
35,goal_004,5,exito,14125,2180.95,05,subwp,123,1
36,goal_004,6,col_return,8363,1135.02,05,subwp,123,1
37,goal_004,7,exito,14125,2180.95,05,subwp,123,1
38,goal_004,8,col_return,8369,1135.72,05,subwp,123,1
39,goal_004,9,exito,14125,2180.94,05,subwp,123,1
40,goal_004,10,col_return,8370,1136.33,05,subwp,123,1
41,goal_005,1,exito,14111,2181.13,05,subwp,123,1
42,goal_005,2,col_return,8376,1134.28,05,subwp,123,1
43,goal_005,3,exito,14112,2181.3,05,subwp,123,1
44,goal_005,4,col_return,8380,1135.08,05,subwp,123,1
45,goal_005,5,exito,14112,2181.34,05,subwp,123,1
46,goal_005,6,col_return,8383,1135.64,05,subwp,123,1
47,goal_005,7,exito,14112,2181.34,05,subwp,123,1
48,goal_005,8,col_return,8382,1136.58,05,subwp,123,1
49,goal_005,9,exito,14112,2181.35,05,subwp,123,1
50,goal_005,10,col_return,8384,1136.94,05,subwp,123,1
51,goal_006,1,exito,14094,2176.79,05,subwp,123,1
52,goal_006,2,col_return,8388,1135.1,05,subwp,123,1
53,goal_006,3,exito,14094,2176.79,05,subwp,123,1
