episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
1,goal_001,1,exito,11208,1837.81,04,sthwp,123,1
2,goal_001,2,exito,11175,1842.24,04,sthwp,123,1
3,goal_001,3,exito,11175,1842.24,04,sthwp,123,1
4,goal_001,4,exito,11175,1841.13,04,sthwp,123,1
5,goal_001,5,exito,11175,1842.23,04,sthwp,123,1
6,goal_001,6,exito,11175,1842.24,04,sthwp,123,1
7,goal_001,7,exito,11175,1842.24,04,sthwp,123,1
8,goal_001,8,exito,11175,1842.23,04,sthwp,123,1
9,goal_001,9,exito,11175,1842.23,04,sthwp,123,1
10,goal_001,10,exito,11175,1842.24,04,sthwp,123,1
11,goal_002,1,exito,11150,1823.62,04,sthwp,123,1
12,goal_002,2,exito,11150,1841.85,04,sthwp,123,1
13,goal_002,3,exito,11150,1841.81,04,sthwp,123,1
14,goal_002,4,exito,11150,1841.8,04,sthwp,123,1
15,goal_002,5,exito,11150,1841.78,04,sthwp,123,1
16,goal_002,6,exito,11150,1841.81,04,sthwp,123,1
17,goal_002,7,exito,11150,1841.78,04,sthwp,123,1
18,goal_002,8,exito,11150,1839.9,04,sthwp,123,1
19,goal_002,9,exito,11150,1841.81,04,sthwp,123,1
20,goal_002,10,exito,11150,1841.81,04,sthwp,123,1
21,goal_003,1,exito,11166,1855.77,04,sthwp,123,1
22,goal_003,2,exito,11166,1855.78,04,sthwp,123,1
23,goal_003,3,exito,11166,1855.77,04,sthwp,123,1
24,goal_003,4,exito,11166,1855.78,04,sthwp,123,1
25,goal_003,5,exito,11166,1855.77,04,sthwp,123,1
26,goal_003,6,exito,11166,1855.78,04,sthwp,123,1
27,goal_003,7,exito,11166,1855.77,04,sthwp,123,1
28,goal_003,8,exito,11166,1855.78,04,sthwp,123,1
29,goal_003,9,exito,11166,1855.77,04,sthwp,123,1
30,goal_003,10,exito,11166,1855.78,04,sthwp,123,1
31,goal_004,1,exito,11109,1848.02,04,sthwp,123,1
32,goal_004,2,exito,11109,1848.02,04,sthwp,123,1
33,goal_004,3,exito,11109,1848.01,04,sthwp,123,1
34,goal_004,4,exito,11109,1827.31,04,sthwp,123,1
35,goal_004,5,exito,11109,1848.02,04,sthwp,123,1
36,goal_004,6,exito,11109,1838.88,04,sthwp,123,1
37,goal_004,7,exito,11109,1848.02,04,sthwp,123,1
38,goal_004,8,exito,11109,1848.02,04,sthwp,123,1
39,goal_004,9,exito,11109,1848.01,04,sthwp,123,1
40,goal_004,10,exito,11109,1848.02,04,sthwp,123,1
41,goal_005,1,exito,11093,1843.18,04,sthwp,123,1
42,goal_005,2,exito,11093,1843.2,04,sthwp,123,1
43,goal_005,3,exito,11093,1838.8,04,sthwp,123,1
44,goal_005,4,exito,11093,1843.21,04,sthwp,123,1
45,goal_005,5,exito,11092,1839.57,04,sthwp,123,1
46,goal_005,6,exito,11093,1843.19,04,sthwp,123,1
47,goal_005,7,exito,11093,1843.2,04,sthwp,123,1
48,goal_005,8,exito,11093,1843.19,04,sthwp,123,1
49,goal_005,9,exito,11093,1843.2,04,sthwp,123,1
50,goal_005,10,exito,11093,1843.19,04,sthwp,123,1
51,goal_006,1,exito,11092,1841.56,04,sthwp,123,1
52,goal_006,2,exito,11092,1840.65,04,sthwp,123,1
53,goal_006,3,exito,11092,1841.56,04,sthwp,123,1
54,goal_006,4,exito,11092,1840.85,04,sthwp,123,1
55,goal_006,5,exito,11092,1841.56,04,sthwp,123,1
56,goal_006,6,exito,11092,1841.56,04,sthwp,123,1
57,goal_006,7,exito,11092,1841.56,04,sthwp,123,1
58,goal_006,8,exito,11092,1841.56,04,sthwp,123,1
59,goal_006,9,exito,11092,1841.56,04,sthwp,123,1
60,goal_006,10,exito,11092,1841.56,04,sthwp,123,1
61,goal_007,1,exito,11091,1841.43,04,sthwp,123,1
62,goal_007,2,exito,11091,1841.44,04,sthwp,123,1
63,goal_007,3,exito,11091,1841.46,04,sthwp,123,1
64,goal_007,4,exito,11091,1841.45,04,sthwp,123,1
65,goal_007,5,exito,11091,1841.45,04,sthwp,123,1
66,goal_007,6,exito,11091,1841.43,04,sthwp,123,1
67,goal_007,7,exito,11091,1841.45,04,sthwp,123,1
68,goal_007,8,exito,11091,1841.45,04,sthwp,123,1
69,goal_007,9,exito,11091,1841.43,04,sthwp,123,1
70,goal_007,10,exito,11091,1841.46,04,sthwp,123,1
71,goal_008,1,exito,11096,1846.64,04,sthwp,123,1
72,goal_008,2,exito,11096,1846.63,04,sthwp,123,1
73,goal_008,3,exito,11096,1846.65,04,sthwp,123,1
74,goal_008,4,exito,11096,1846.64,04,sthwp,123,1
75,goal_008,5,exito,11096,1846.65,04,sthwp,123,1
76,goal_008,6,exito,11096,1846.64,04,sthwp,123,1
77,goal_008,7,exito,11096,1846.06,04,sthwp,123,1
78,goal_008,8,exito,11096,1846.64,04,sthwp,123,1
79,goal_008,9,exito,11096,1846.31,04,sthwp,123,1
80,goal_008,10,exito,11096,1846.65,04,sthwp,123,1
81,goal_009,1,exito,11097,1847.49,04,sthwp,123,1
82,goal_009,2,exito,11097,1847.49,04,sthwp,123,1
83,goal_009,3,exito,11097,1847.49,04,sthwp,123,1
84,goal_009,4,exito,11097,1847.51,04,sthwp,123,1
85,goal_009,5,exito,11097,1847.49,04,sthwp,123,1
86,goal_009,6,exito,11097,1841.58,04,sthwp,123,1
87,goal_009,7,exito,11097,1847.49,04,sthwp,123,1
88,goal_009,8,exito,11097,1842.77,04,sthwp,123,1
89,goal_009,9,exito,11097,1847.5,04,sthwp,123,1
90,goal_009,10,exito,11097,1847.49,04,sthwp,123,1
91,goal_010,1,exito,11097,1847.49,04,sthwp,123,1
92,goal_010,2,exito,11097,1847.49,04,sthwp,123,1
93,goal_010,3,exito,11097,1847.49,04,sthwp,123,1
94,goal_010,4,exito,11097,1847.47,04,sthwp,123,1
