episodio,goal_id,resultado,pasos,reward,warehouse_id,metodo,seed
1,goal_001,col_approach,188,-194.57,04,sthwp,524
2,goal_002,col_approach,178,-193.1,04,sthwp,524
3,goal_003,exito,11222,1840.89,04,sthwp,524
4,goal_004,exito,11160,1832.11,04,sthwp,524
5,goal_005,exito,11138,1826.99,04,sthwp,524
6,goal_006,exito,11141,1826.02,04,sthwp,524
7,goal_007,exito,11141,1826.37,04,sthwp,524
8,goal_008,exito,11148,1832.28,04,sthwp,524
9,goal_009,exito,11150,1833.62,04,sthwp,524
10,goal_010,exito,11152,1833.69,04,sthwp,524
11,goal_011,exito,11151,1833.75,04,sthwp,524
12,goal_012,exito,11152,1833.68,04,sthwp,524
13,goal_013,exito,11151,1833.72,04,sthwp,524
14,goal_014,exito,11150,1833.82,04,sthwp,524
15,goal_015,exito,11153,1834.44,04,sthwp,524
16,goal_016,exito,11169,1837.83,04,sthwp,524
17,goal_017,exito,11153,1833.81,04,sthwp,524
18,goal_018,exito,11152,1833.88,04,sthwp,524
19,goal_019,exito,11151,1833.71,04,sthwp,524
20,goal_020,exito,11151,1833.7,04,sthwp,524
21,goal_021,exito,11151,1833.99,04,sthwp,524
22,goal_022,exito,11153,1833.8,04,sthwp,524
23,goal_023,exito,11151,1833.76,04,sthwp,524
24,goal_024,exito,11152,1834.24,04,sthwp,524
25,goal_025,exito,11161,1836.0,04,sthwp,524
26,goal_026,exito,11158,1834.21,04,sthwp,524
27,goal_027,exito,11159,1834.62,04,sthwp,524
28,goal_028,exito,11176,1836.47,04,sthwp,524
29,goal_029,exito,11174,1832.95,04,sthwp,524
30,goal_030,exito,11160,1833.7,04,sthwp,524
31,goal_031,exito,11160,1834.8,04,sthwp,524
32,goal_032,exito,11174,1838.51,04,sthwp,524
33,goal_033,exito,11214,1854.11,04,sthwp,524
34,goal_034,exito,11433,1808.12,04,sthwp,524
35,goal_035,exito,11068,1868.79,04,sthwp,524
36,goal_036,exito,11107,1875.52,04,sthwp,524
37,goal_037,exito,11098,1879.9,04,sthwp,524
38,goal_038,exito,11046,1871.58,04,sthwp,524
39,goal_039,exito,11027,1866.94,04,sthwp,524
40,goal_040,exito,11026,1865.9,04,sthwp,524
41,goal_041,exito,11027,1866.42,04,sthwp,524
42,goal_042,exito,11041,1868.79,04,sthwp,524
43,goal_043,exito,11051,1869.28,04,sthwp,524
44,goal_044,exito,11051,1869.28,04,sthwp,524
45,goal_045,exito,11051,1869.07,04,sthwp,524
46,goal_046,exito,11051,1869.06,04,sthwp,524
47,goal_047,exito,11051,1869.23,04,sthwp,524
48,goal_048,exito,11050,1869.05,04,sthwp,524
49,goal_049,exito,11050,1869.24,04,sthwp,524
50,goal_050,exito,11067,1872.63,04,sthwp,524
51,goal_051,exito,11048,1870.0,04,sthwp,524
52,goal_052,exito,11048,1869.82,04,sthwp,524
53,goal_053,exito,11048,1869.81,04,sthwp,524
54,goal_054,exito,11048,1869.83,04,sthwp,524
55,goal_055,exito,11048,1869.95,04,sthwp,524
56,goal_056,exito,11048,1869.98,04,sthwp,524
57,goal_057,exito,11048,1869.83,04,sthwp,524
58,goal_058,exito,11048,1869.97,04,sthwp,524
59,goal_059,exito,11057,1871.69,04,sthwp,524
60,goal_060,exito,11052,1870.69,04,sthwp,524
61,goal_061,exito,11054,1870.65,04,sthwp,524
62,goal_062,exito,11069,1872.38,04,sthwp,524
63,goal_063,exito,11074,1871.92,04,sthwp,524
64,goal_064,exito,11054,1869.14,04,sthwp,524
65,goal_065,exito,11051,1870.59,04,sthwp,524
66,goal_066,exito,11059,1872.59,04,sthwp,524
67,goal_067,exito,11106,1880.77,04,sthwp,524
68,goal_068,exito,11076,1859.39,04,sthwp,524
69,goal_069,exito,11086,1814.83,04,sthwp,524
70,goal_070,exito,11116,1827.21,04,sthwp,524
71,goal_071,exito,11118,1827.28,04,sthwp,524
72,goal_072,exito,11117,1826.88,04,sthwp,524
73,goal_073,exito,11122,1830.5,04,sthwp,524
74,goal_074,exito,11131,1834.8,04,sthwp,524
75,goal_075,exito,11131,1834.79,04,sthwp,524
76,goal_076,exito,11132,1834.96,04,sthwp,524
77,goal_077,exito,11131,1834.77,04,sthwp,524
78,goal_078,exito,11131,1834.78,04,sthwp,524
79,goal_079,exito,11132,1834.97,04,sthwp,524
80,goal_080,exito,11131,1834.84,04,sthwp,524
81,goal_081,exito,11131,1834.78,04,sthwp,524
82,goal_082,exito,11132,1834.91,04,sthwp,524
83,goal_083,exito,11132,1834.99,04,sthwp,524
84,goal_084,exito,11132,1834.97,04,sthwp,524
85,goal_085,exito,11132,1834.98,04,sthwp,524
86,goal_086,exito,11133,1834.93,04,sthwp,524
87,goal_087,exito,11132,1834.99,04,sthwp,524
88,goal_088,exito,11132,1834.98,04,sthwp,524
89,goal_089,exito,11132,1834.99,04,sthwp,524
90,goal_090,exito,11132,1834.98,04,sthwp,524
91,goal_091,exito,11131,1834.78,04,sthwp,524
92,goal_092,exito,11132,1834.96,04,sthwp,524
93,goal_093,exito,11146,1836.79,04,sthwp,524
94,goal_094,exito,11191,1831.42,04,sthwp,524
95,goal_095,exito,11165,1827.91,04,sthwp,524
96,goal_096,exito,11131,1834.85,04,sthwp,524
97,goal_097,exito,11133,1834.98,04,sthwp,524
98,goal_098,exito,11119,1843.9,04,sthwp,524
99,goal_099,exito,10399,1724.09,04,sthwp,524
100,goal_100,exito,10340,1717.04,04,sthwp,524
101,goal_101,exito,10319,1712.9,04,sthwp,524
102,goal_102,exito,10315,1716.95,04,sthwp,524
103,goal_103,exito,10330,1719.45,04,sthwp,524
104,goal_104,exito,10330,1719.42,04,sthwp,524
105,goal_105,exito,10330,1719.53,04,sthwp,524
106,goal_106,exito,10330,1719.56,04,sthwp,524
107,goal_107,exito,10329,1719.59,04,sthwp,524
108,goal_108,exito,10330,1719.25,04,sthwp,524
109,goal_109,exito,10329,1718.22,04,sthwp,524
110,goal_110,exito,10331,1718.17,04,sthwp,524
111,goal_111,exito,10332,1719.05,04,sthwp,524
112,goal_112,exito,10348,1722.24,04,sthwp,524
113,goal_113,exito,10331,1718.37,04,sthwp,524
114,goal_114,exito,10330,1718.42,04,sthwp,524
115,goal_115,exito,10331,1718.27,04,sthwp,524
