episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
1,goal_001,1,exito,4149,841.42,03,subwp,524,1
2,goal_001,2,exito,4148,840.32,03,subwp,524,1
3,goal_001,3,exito,4148,839.58,03,subwp,524,1
4,goal_001,4,exito,4148,841.55,03,subwp,524,1
5,goal_001,5,exito,4148,840.43,03,subwp,524,1
6,goal_001,6,exito,4148,839.7,03,subwp,524,1
7,goal_001,7,exito,4148,841.57,03,subwp,524,1
8,goal_001,8,exito,4148,841.57,03,subwp,524,1
9,goal_001,9,exito,4148,840.57,03,subwp,524,1
10,goal_001,10,exito,4148,839.44,03,subwp,524,1
11,goal_002,1,exito,4171,835.18,03,subwp,524,1
12,goal_002,2,exito,4171,835.16,03,subwp,524,1
13,goal_002,3,exito,4169,833.93,03,subwp,524,1
14,goal_002,4,exito,4171,834.6,03,subwp,524,1
15,goal_002,5,exito,4171,835.75,03,subwp,524,1
16,goal_002,6,exito,4171,835.71,03,subwp,524,1
17,goal_002,7,exito,4169,835.2,03,subwp,524,1
18,goal_002,8,exito,4169,833.75,03,subwp,524,1
19,goal_002,9,exito,4171,834.59,03,subwp,524,1
20,goal_002,10,exito,4169,835.96,03,subwp,524,1
21,goal_003,1,exito,4154,836.23,03,subwp,524,1
22,goal_003,2,exito,4154,836.38,03,subwp,524,1
23,goal_003,3,exito,4154,837.89,03,subwp,524,1
24,goal_003,4,exito,4154,838.01,03,subwp,524,1
25,goal_003,5,exito,4154,836.7,03,subwp,524,1
26,goal_003,6,exito,4154,835.8,03,subwp,524,1
27,goal_003,7,exito,4154,837.58,03,subwp,524,1
28,goal_003,8,exito,4154,837.02,03,subwp,524,1
29,goal_003,9,exito,4154,835.96,03,subwp,524,1
30,goal_003,10,exito,4154,837.45,03,subwp,524,1
31,goal_004,1,exito,4171,835.75,03,subwp,524,1
32,goal_004,2,exito,4169,836.0,03,subwp,524,1
33,goal_004,3,exito,4169,834.27,03,subwp,524,1
34,goal_004,4,exito,4171,833.88,03,subwp,524,1
35,goal_004,5,exito,4169,835.76,03,subwp,524,1
36,goal_004,6,exito,4171,834.8,03,subwp,524,1
37,goal_004,7,exito,4169,833.91,03,subwp,524,1
38,goal_004,8,exito,4171,835.0,03,subwp,524,1
39,goal_004,9,exito,4169,835.99,03,subwp,524,1
40,goal_004,10,exito,4171,835.76,03,subwp,524,1
41,goal_005,1,exito,4154,836.89,03,subwp,524,1
42,goal_005,2,exito,4154,836.27,03,subwp,524,1
43,goal_005,3,exito,4154,837.96,03,subwp,524,1
44,goal_005,4,exito,4154,837.12,03,subwp,524,1
45,goal_005,5,exito,4154,836.0,03,subwp,524,1
46,goal_005,6,exito,4154,837.64,03,subwp,524,1
47,goal_005,7,exito,4154,837.95,03,subwp,524,1
48,goal_005,8,exito,4154,837.47,03,subwp,524,1
49,goal_005,9,exito,4154,835.88,03,subwp,524,1
50,goal_005,10,exito,4154,837.39,03,subwp,524,1
51,goal_006,1,exito,4169,835.69,03,subwp,524,1
52,goal_006,2,exito,4171,833.91,03,subwp,524,1
53,goal_006,3,exito,4169,834.55,03,subwp,524,1
54,goal_006,4,exito,4171,835.75,03,subwp,524,1
55,goal_006,5,exito,4169,836.01,03,subwp,524,1
56,goal_006,6,exito,4169,835.52,03,subwp,524,1
57,goal_006,7,exito,4171,833.67,03,subwp,524,1
58,goal_006,8,exito,4169,834.56,03,subwp,524,1
59,goal_006,9,exito,4171,835.76,03,subwp,524,1
60,goal_006,10,exito,4169,834.66,03,subwp,524,1
61,goal_007,1,exito,4154,836.1,03,subwp,524,1
62,goal_007,2,exito,4154,837.77,03,subwp,524,1
63,goal_007,3,exito,4154,837.95,03,subwp,524,1
64,goal_007,4,exito,4154,837.41,03,subwp,524,1
65,goal_007,5,exito,4154,835.98,03,subwp,524,1
66,goal_007,6,exito,4154,837.52,03,subwp,524,1
67,goal_007,7,exito,4154,837.68,03,subwp,524,1
68,goal_007,8,exito,4154,835.95,03,subwp,524,1
69,goal_007,9,exito,4154,837.11,03,subwp,524,1
