episodio,goal_id,resultado,pasos,reward,warehouse_id,metodo,seed
1,goal_001,exito,14442,2311.01,05,subwp,42
2,goal_002,exito,14333,2293.79,05,subwp,42
3,goal_003,exito,14201,2287.15,05,subwp,42
4,goal_004,exito,14171,2281.86,05,subwp,42
5,goal_005,exito,14162,2280.28,05,subwp,42
6,goal_006,exito,14148,2278.74,05,subwp,42
7,goal_007,exito,14154,2275.96,05,subwp,42
8,goal_008,exito,14165,2280.48,05,subwp,42
9,goal_009,exito,14216,2282.52,05,subwp,42
10,goal_010,exito,14288,2291.24,05,subwp,42
11,goal_011,exito,14350,2300.04,05,subwp,42
12,goal_012,exito,14416,2309.84,05,subwp,42
13,goal_013,exito,14498,2320.41,05,subwp,42
14,goal_014,exito,14591,2347.51,05,subwp,42
15,goal_015,exito,14688,2363.93,05,subwp,42
16,goal_016,exito,14784,2379.85,05,subwp,42
17,goal_017,exito,14871,2393.46,05,subwp,42
18,goal_018,exito,14965,2409.93,05,subwp,42
19,goal_019,exito,15072,2421.58,05,subwp,42
20,goal_020,exito,15258,2443.02,05,subwp,42
21,goal_021,exito,15423,2469.99,05,subwp,42
22,goal_022,exito,15537,2486.01,05,subwp,42
23,goal_023,exito,15682,2506.64,05,subwp,42
24,goal_024,exito,15817,2524.66,05,subwp,42
25,goal_025,exito,15976,2544.21,05,subwp,42
26,goal_026,exito,16159,2566.46,05,subwp,42
27,goal_027,exito,16308,2588.95,05,subwp,42
28,goal_028,exito,16490,2616.5,05,subwp,42
29,goal_029,exito,16646,2640.31,05,subwp,42
30,goal_030,exito,16901,2664.96,05,subwp,42
31,goal_031,exito,17123,2696.96,05,subwp,42
32,goal_032,exito,17339,2729.17,05,subwp,42
33,goal_033,exito,17598,2766.12,05,subwp,42
34,goal_034,exito,17823,2799.27,05,subwp,42
35,goal_035,exito,18059,2835.27,05,subwp,42
36,goal_036,exito,18326,2870.99,05,subwp,42
37,goal_037,exito,14323,2311.31,05,subwp,42
38,goal_038,exito,16713,2632.54,05,subwp,42
39,goal_039,exito,14260,2305.63,05,subwp,42
40,goal_040,exito,16609,2618.37,05,subwp,42
41,goal_041,exito,14144,2289.52,05,subwp,42
42,goal_042,exito,16364,2582.8,05,subwp,42
43,goal_043,exito,14075,2275.79,05,subwp,42
44,goal_044,exito,16111,2548.35,05,subwp,42
45,goal_045,exito,14026,2265.36,05,subwp,42
46,goal_046,exito,15886,2515.26,05,subwp,42
