goal_id,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,54,36,18,0,66.7,0.0
goal_02,54,42,12,0,77.8,0.0
goal_03,34,23,11,0,67.6,0.0
goal_04,48,26,22,0,54.2,0.0
goal_05,51,39,12,0,76.5,0.0
goal_06,48,35,13,0,72.9,0.0
goal_07,55,31,24,0,56.4,0.0
goal_08,40,29,11,0,72.5,0.0
goal_09,42,31,11,0,73.8,0.0
goal_10,36,21,15,0,58.3,0.0
goal_11,44,30,14,0,68.2,0.0
goal_12,34,23,11,0,67.6,0.0
goal_13,54,39,15,0,72.2,0.0
goal_14,40,27,13,0,67.5,0.0
goal_15,48,32,16,0,66.7,0.0
goal_16,42,27,15,0,64.3,0.0
goal_17,53,34,19,0,64.2,0.0
goal_18,52,39,13,0,75.0,0.0
goal_19,44,29,15,0,65.9,0.0
goal_20,46,29,17,0,63.0,0.0
goal_21,54,40,14,0,74.1,0.0
goal_22,63,38,25,0,60.3,0.0
goal_23,38,26,12,0,68.4,0.0
goal_24,46,30,16,0,65.2,0.0
goal_25,45,34,11,0,75.6,0.0
goal_26,40,29,11,0,72.5,0.0
goal_27,52,35,17,0,67.3,0.0
goal_28,58,45,13,0,77.6,0.0
