goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,77,60,10,77.9
goal_02,96,69,21,71.9
goal_03,86,72,12,83.7
goal_04,101,79,16,78.2
goal_05,81,61,16,75.3
goal_06,65,50,12,76.9
goal_07,74,51,20,68.9
goal_08,82,57,24,69.5
goal_09,93,79,11,84.9
goal_10,84,66,14,78.6
goal_11,90,72,14,80.0
goal_12,92,76,11,82.6
goal_13,81,65,13,80.2
goal_14,76,63,10,82.9
goal_15,99,83,10,83.8
goal_16,92,62,23,67.4
goal_17,63,52,9,82.5
goal_18,80,60,16,75.0
goal_19,80,62,15,77.5
goal_20,95,69,20,72.6
goal_21,70,54,14,77.1
goal_22,88,64,18,72.7
goal_23,70,51,18,72.9
goal_24,73,60,9,82.2
goal_25,90,63,24,70.0
goal_26,87,68,16,78.2
goal_27,78,62,13,79.5
goal_28,85,70,13,82.4
