goal_id,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,26,19,7,26,73.1,100.0
goal_02,21,17,3,21,81.0,100.0
goal_03,18,14,4,18,77.8,100.0
goal_04,17,13,4,17,76.5,100.0
goal_05,15,8,6,15,53.3,100.0
goal_06,60,42,17,60,70.0,100.0
goal_07,26,19,6,26,73.1,100.0
goal_08,23,13,10,23,56.5,100.0
goal_09,20,15,3,20,75.0,100.0
goal_10,75,42,31,75,56.0,100.0
goal_11,67,38,26,67,56.7,100.0
goal_12,17,14,3,17,82.4,100.0
goal_13,27,16,11,26,59.3,96.3
goal_14,63,39,24,63,61.9,100.0
goal_15,13,7,6,13,53.8,100.0
goal_16,21,13,8,21,61.9,100.0
goal_17,17,14,3,17,82.4,100.0
goal_18,53,32,21,53,60.4,100.0
goal_19,59,41,18,59,69.5,100.0
goal_20,59,40,18,59,67.8,100.0
goal_21,22,15,7,22,68.2,100.0
goal_22,20,17,3,20,85.0,100.0
goal_23,22,16,6,22,72.7,100.0
goal_24,55,34,21,55,61.8,100.0
goal_25,62,42,19,61,67.7,98.4
goal_26,68,47,21,68,69.1,100.0
goal_27,25,18,6,25,72.0,100.0
goal_28,13,11,2,13,84.6,100.0
