goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,45,33,12,73.3
goal_02,44,35,8,79.5
goal_03,45,26,17,57.8
goal_04,43,32,10,74.4
goal_05,49,34,14,69.4
goal_06,51,33,18,64.7
goal_07,61,39,19,63.9
goal_08,49,28,18,57.1
goal_09,38,25,11,65.8
goal_10,47,28,16,59.6
goal_11,31,17,14,54.8
goal_12,39,26,13,66.7
goal_13,35,22,11,62.9
goal_14,48,32,14,66.7
goal_15,43,33,8,76.7
goal_16,32,26,6,81.2
goal_17,33,22,8,66.7
goal_18,47,31,16,66.0
goal_19,47,30,15,63.8
goal_20,35,25,10,71.4
goal_21,61,44,16,72.1
goal_22,51,33,17,64.7
goal_23,43,27,16,62.8
goal_24,37,25,12,67.6
goal_25,48,37,8,77.1
goal_26,54,38,15,70.4
goal_27,45,28,16,62.2
goal_28,39,26,12,66.7
